rmat_tag,distance,SMILES
200_S1,11.0,CCNOOCC=CC=C(C)C
500_S1,11.0,CCN1COOC1C=CC=C(C)C
600_S1,8.0,CCN=CC=CC=C(C)C
800_S1,7.0,CCN(O)C(=O)CC=CC=C(C)C
900_S1,7.0,CC(=CC=CC(O)CO)C
1100_S1,8.0,CCN1OC2OC21C=CC=C(C)C
1700_S1,11.0,CCN(O)C#CC=CC=C(C)C
1800_S1,8.0,CC=CC=C(C)COCONCC
2200_S1,12.0,CCN=CC1(O)C=CC=C(C)CO1
2700_S1,11.0,CCNOC(C)C=CC=C(C=O)C
2900_S1,10.0,CCNCOCC(=CC=CCO)C
3300_S1,11.0,CCN1OCC(C)=CC=CC1(C)O
3800_S1,12.0,CCN=CCC=CC=C(C)C1OO1
4100_S1,11.0,C=CC=CC=C(C)C(=O)O
4500_S1,10.0,CC=CC=C(C)CN(O)CC
5000_S1,11.0,CCN1CC(C)=CC=CC(OO)C1
5200_S1,9.0,CCN1CC(C)=CC=CC1(O)CO
5300_S1,8.0,CCN1CC(C)=CC=CC=C(O)O1
5700_S1,12.0,CCN1COC1C(=CC=CC=O)C
5800_S1,8.0,CCN1OC2CC=CC=C(C)C1O2
6400_S1,11.0,CCN1C(O)C=CC=C(C)C1OC
6700_S1,11.0,CCN1C(=C=O)C=CC=C(C)C1O
6800_S1,9.0,CC=CC=C(C)C1(NCC)OCO1
7800_S1,11.0,C#CC=CC=C(C=NCC)C
8300_S1,11.0,CCN=C1OC(C)C=CC=C1C
8400_S1,12.0,C#CC=CC=C(C)C(O)=NCC
9000_S1,11.0,CC=CC=C(C)CC=NCC
9100_S1,10.0,CCNOCCC(=CC=CCO)C
9200_S1,12.0,CCC(=CC=CC(=O)O)C
9600_S1,7.0,OC1CC=CC=C(C)C1
9800_S1,11.0,CCN(OO)C1C=CC=C(C)CC1
9900_S1,10.0,CCNC12C=CC=C(C)CC1OO2
10300_S1,10.0,CC=CC=C(C)C(O)CONCC
10400_S1,14.0,CCN1CC(C(=CC=CC=O)C)O1
10600_S1,12.0,CCN1OOC2C(C)=CC=CCC21
10800_S1,12.0,CCN(O)OC1C=CC=CC=C1C
11200_S1,12.0,CCNCC1OCC=CC=C1C
11300_S1,12.0,CCN1OCC2OC1C=CC=C2C
11400_S1,9.0,CC1=CC=CCC2OOC12
11500_S1,9.0,CCNC1C=CC=C(C)C2OC12
11800_S1,11.0,CCNCC=CC=C(C)C1(O)CO1
11900_S1,11.0,CCNC12OC13OC2C=CC=C3C
12500_S1,11.0,CCN1C2OCC=CC=C(C)C21
12600_S1,13.0,CCN(O)C(C)C(=CC=CC=O)C
12700_S1,12.0,CCN1C2C=CC=C(C)C1COO2
12800_S1,8.0,CCNC1C(C)=CC=CCC1O
12900_S1,10.0,CCNC1C(=O)C(O)C=CC=C1C
13100_S1,9.0,CCNC1C(O)=CC=CC=C1C
13300_S1,11.0,CC=CC=C(C)C1(O)C(O)N1CC
13400_S1,14.0,CCN1C2C=CC=C(C)C1(C)OO2
13600_S1,10.0,CCNC1(O)C(O)=CC=CC=C1C
14000_S1,9.0,CCN1OC23CC=CC=C(C)C12O3
14100_S1,12.0,CCN1C23C=CC=C(C)C1(C2)O3
14800_S1,9.0,CCN=C1C(C)=CC=CC2OC12O
14900_S1,11.0,CCN=C1C(C)=CC=CC(O)=C1O
15600_S1,10.0,CCNOC1=CC(C)=CC=CCO1
15700_S1,14.0,C=CC(=CC=CC(=O)ONCC)C
15800_S1,12.0,CCN1OC=CC(C)=CC=CC1O
16200_S1,11.0,CCNC12C=CC=C(C)C=C1OO2
16400_S1,10.0,CC=CC=C(C)C(=C=O)ONCC
17000_S1,14.0,CCN=C=C1OCC=CC=C1C
17800_S1,12.0,CCNC1=COC(O)C=CC=C1C
18000_S1,10.0,CCNC1=C(OO)CC=CC=C1C
19100_S1,12.0,CC=CC=C(C#CON(O)CC)C
19200_S1,14.0,CCNC#CC(=CC=CC=O)C
20600_S1,7.0,CCN(C=O)C1C=CC=C(C)C1
20900_S1,3.0,O=C(O)C1C=CC=C(C)C1
21600_S1,9.0,CCNCOOC1CC=CC=C1C
21700_S1,11.0,CCN=COC1C(=O)C=CC=C1C
22100_S1,10.0,CCN(O)C=C1C=CC=C(C)C1O
22300_S1,9.0,CC1(O)C=CC=C(C)C1=O
22800_S1,7.0,CCNC1(CO)C=CC=C(C)C1O
23100_S1,9.0,CCN1C2OC3(O2)C(C)=CC=CC13
23200_S1,11.0,CCN=CC12C=CC=C(C)C1(O)O2
23500_S1,7.0,O=C1C(C)=CC=CC1CO
23700_S1,9.0,CCN(OOC)C1CC=CC=C1C
24100_S1,6.0,CCNC1C(C)=CC=CC1C1OO1
24400_S1,7.0,CCNC1C(C)=CC=CC1=C1OO1
25100_S1,9.0,CCNC1(OOC)CC=CC=C1C
27400_S1,8.0,CCNOOC1C2C=CC=C(C)C21
27900_S1,10.0,CCN1OC2(CC=CC=C2C)C1O
28200_S1,11.0,CCNC1C23C=CC=C(C)C12OO3
28600_S1,12.0,CCN=CC1(O)C(C)=CC=CC1O
28700_S1,9.0,CCNC12C=CC=C(C)C13OC3O2
28900_S1,9.0,CCNC12C=CC=C(C)C1(O)C2=O
29700_S1,11.0,CCN1C2(O)C=CC=C(C)C12C
31400_S1,12.0,C=C1C(=O)C=CC=C1C
31500_S1,11.0,CCN1C2=C3C(C)=CC=CC31O2
33600_S1,6.0,CCNC(O)OC1=CC(C)=CC=C1
33800_S1,10.0,CCN(C)C1=CC(C)=CC=C1
34000_S1,4.0,CC1=CC=CC(C2OO2)=C1
34400_S1,9.0,CCNOC1=C(O)C(C)=CC=C1
35100_S1,8.0,CCN(O)OC1=C(C)C=CC=C1C
35700_S1,5.0,CCNC1=C(OC=O)C=CC=C1C
37200_S1,9.0,CCN1OCC2=C(C=CC=C2C)O1
37300_S1,8.0,CCNC1=C(COO)C(C)=CC=C1
41200_S1,10.0,CCN(CCC=CC=C(C)C)O[13CH2]
41400_S1,9.0,CCN=C(C=CC=C(C)C)CO
41500_S1,11.0,C=C(C=CC=C(C)C)OO[13CH2]
41700_S1,11.0,CC=CC=C(C)CO[13CH2]
41800_S1,10.0,CCN1OCC1C=CC=C(C)CO[13CH2]
42200_S1,10.0,[13CH2]OC=C1C=CC=C(C)CO1
42500_S1,13.0,CCNC#CC=CC=C(C=O)C
42600_S1,12.0,CCN(CC(=CC=CCO)C)O[13CH2]
42800_S1,11.0,CCN1CC(C)=CC=CC2(O[13CH2])OC12
42900_S1,8.0,CCNCC(=CC=CC=C(O)O[13CH2])C
43100_S1,14.0,CCN1C(=O)C=CC=C(C)C1O[13CH2]
43300_S1,10.0,CCN1C2CC=CC=C(C)C1O2
43900_S1,11.0,CCC=CC=C(C)C(=NCC)O[13CH2]
44400_S1,13.0,CCNCCC(=CC=CC=O)C
44500_S1,13.0,CCN1C(=O)C=CC=C(C)CC1O[13CH2]
