rmat_tag,distance,largest_cleaned
136,8.0,CCNOCC=CC=C(C)C
154,9.0,CCN1OC1OCC=CC=C(C)C
156,9.0,CCN(C=O)OCC=CC=C(C)C
157,7.0,CCNC(=O)OCC=CC=C(C)C
166,11.0,CCN=COOCC=CC=C(C)C
169,9.0,CCN=C(O)OCC=CC=C(C)C
200,11.0,CCNOOCC=CC=C(C)C
203,11.0,CCN(O)OCC=CC=C(C)C
209,10.0,CCN(OC)OCC=CC=C(C)C
216,8.0,CCNOCOCC=CC=C(C)C
235,8.0,CCNC(O)OCC=CC=C(C)C
260,11.0,CCNOC(O)C=CC=C(C)C
262,12.0,CCN1OC(C=CC=C(C)C)O1
264,10.0,CCNOC(C=CC=C(C)C)OC
274,11.0,CCN1COC(C=CC=C(C)C)O1
277,9.0,CCNC1OC(C=CC=C(C)C)O1
284,11.0,CCN=COC(O)C=CC=C(C)C
286,10.0,CCN=C1OC(C=CC=C(C)C)O1
292,12.0,CCNOC(=O)C=CC=C(C)C
326,11.0,CCNCOC(=O)C=CC=C(C)C
329,12.0,CCN=COC(=O)C=CC=C(C)C
340,11.0,CCN(CC=CC=C(C)C)OO
351,10.0,CCN(CC=CC=C(C)C)OOC
367,8.0,CCN(CC=CC=C(C)C)OCO
372,8.0,CCN(O)CC=CC=C(C)C
374,6.0,CCNCC=CC=C(C)C
375,7.0,CCN(CC=CC=C(C)C)OC=O
384,9.0,CCN(CO)CC=CC=C(C)C
392,10.0,CCN(CC=CC=C(C)C)COO
396,8.0,CCN(CC=CC=C(C)C)C(O)O
397,9.0,CCN(CC=CC=C(C)C)C1OO1
402,8.0,CCN(C=O)CC=CC=C(C)C
404,7.0,CCN(CC=CC=C(C)C)C(=O)O
418,11.0,CCNC(C=CC=C(C)C)OO
420,11.0,CCN(O)C(O)C=CC=C(C)C
434,8.0,CCNC(O)C=CC=C(C)C
435,9.0,CCN1OC1C=CC=C(C)C
436,7.0,CCNC(C=CC=C(C)C)OC=O
445,11.0,CCN1COOC1C=CC=C(C)C
450,9.0,CCN(C=O)C(O)C=CC=C(C)C
452,8.0,CCN1C(=O)OC1C=CC=C(C)C
461,12.0,CCN(O)C(=O)C=CC=C(C)C
464,11.0,CCN(OC)C(=O)C=CC=C(C)C
465,9.0,CCNC(=O)C=CC=C(C)C
468,11.0,CCN(CO)C(=O)C=CC=C(C)C
470,10.0,CCN(C=O)C(=O)C=CC=C(C)C
477,12.0,CCN1OOC1C=CC=C(C)C
482,10.0,CCNC(C=CC=C(C)C)OOC
483,10.0,CCN(OC)C(O)C=CC=C(C)C
489,10.0,CCN(O)C(C=CC=C(C)C)OC
491,8.0,CCNC(C=CC=C(C)C)OCO
492,9.0,CCN1OCOC1C=CC=C(C)C
507,9.0,CCN1C(O)OC1C=CC=C(C)C
517,11.0,CCNC(O)(O)C=CC=C(C)C
