rmat_tag,pdt_smiles
8000300,C.CCN[13CH2]C(O)C(=CC=CC=O)CI.[13CH3]
8000400,CCN[13CH2]C1OOCCC=CC=C1CI.[13CH3]
8000600,C=C(O)C=CC=C(CI)C1[13CH2]N(CC)O1.[13CH3]
8000800,CCN1CC(=O)C=CC=C(CI)C(=O)[13CH2]1.[13CH3]
8000900,CC=CC=C(CI)C(O)[13CH2]N(CC)CO.[13CH3]
8001000,C.CCN1[13CH2]C2OOC1C=CC=C2CI.[13CH3]
8001100,CCN[13CH2]C1OCC(O)C=CC=C1CI.[13CH3]
8001500,CCN[13CH2]C12OCC(C=CC=C1CI)O2.[13CH3]
8001800,CCN1[13CH2]C(=O)C(CI)=CC=CC1(C)O.[13CH3]
8002300,CCN1[13CH2]C1C(=CC=CC=C(O)O)CI.[13CH3]
8002900,CCN1[13CH2]C1(O)C(=CC=CC(C)=O)CI.[13CH3]
8003600,CCN(O)[13CH2]C(C)C(=CC=CCO)CI.[13CH3]
8003700,CCN1CC(C(=CC=CC(O)O)CI)[13CH2]1.[13CH3]
8003800,CCN1[13CH2]C2C(=O)OC1C=CC=C2CI.[13CH3]
8004000,CCN(O)[13CH2]C1CC(=O)C=CC=C1CI.[13CH3]
8004600,CCN(O)[13CH2]C12CC(C=CC=C1CI)O2.[13CH3]
8005000,CCN1[13CH2]C2(C(=CC=CC=O)CI)OC12.[13CH3]
8005300,CCN1[13CH2]C2(OO)C=C1C=CC=C2CI.[13CH3]
8006700,CCN[13CH2]C1=COOCC=CC=C1CI.[13CH3]
8007000,CCN[13CH2]C1=C2OOC2C=CC=C1CI.[13CH3]
8008500,CCN(C=O)[13CH2]C1C(CI)=CC=CC1O.[13CH3]
8009400,CCN1[13CH2]C23OC1C2C=CC=C3CI.O.[13CH3]
8010500,CCN1[13CH2]C12CC=CC=C2CI.CO.O.[13CH3]
8011500,CCN1[13CH2]C2(CC=CC=C2CI)C1(O)O.[13CH3]
