rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
8008757,2.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC([C@H](N)c1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.1184225397233708,0.9500095776278356
1005661,2.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N][14CH]c1ccccc1F,CC[C@@H](C(=O)ONCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.13910033619384787,0.8975554804158671
1022194,2.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][14C@H]([15N])c1ccccc1F,CC[C@@H](C(=O)O[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.12243403173876831,0.9378644814491492
1007710,2.0,C[15C]([15N][14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC(NCc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.07824554854216433,0.9563470729446154
1007538,3.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N][14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)NCc1ccccc1,0.14306056340823126,0.9116733979707473
1005653,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[17O][15N][14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)ONCc1ccccc1,0.113162008214437,0.944042503359666
94891,3.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N][14CH]c2ccccc2F)[17C](=[17O])[18O])cc1,O=C(O)[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.13654585907526073,0.8917151562281251
1022983,3.0,C[15C]1[15N][14C@H](c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.08591055936193111,0.9754082040549353
1007708,3.0,C[15C]([15N][14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.06920714047257448,0.9645944093305652
1054215,3.0,C[15C]([15N]=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC(N=Cc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08662312188814271,0.9619611086006365
1005681,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])([18O])[15N][14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)(O)NCc1ccccc1,0.06906737473319649,0.9700489403296292
1017729,3.0,[15N][14C@@H]([18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)c1ccccc1F,N[C@@H](OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.07981342231365715,0.9639495426755977
8008371,3.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.09332559718971291,0.9766878669659944
2050658,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])([18O])[14C@H]([15N])c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)(O)[C@H](N)c1ccccc1,0.12180860385731261,0.9444242703340858
94686,3.0,O=C1c2cccc(F)c2CN1c1ccc([16CH][17C](=[17O])[18O][15N][14CH]c2ccccc2F)cc1,O=C(Cc1ccc(N2Cc3ccccc3C2=O)cc1)ONCc1ccccc1,0.0695868677593838,0.9694312014532642
1007702,3.0,C[15C]([15N][14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O],CC(NCc1ccccc1)[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O,0.07730676402631573,0.9605150485065566
4052230,3.0,C[15C][16C@@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N])c1ccccc1F,CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.18102762699718605,0.8773695398129218
2050663,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[14C@H]([15N])c1ccccc1F,CC[C@@H](C(=O)[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08364211858293452,0.9669053846944398
4043385,3.0,[15N][14C@H](c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],N[C@H](c1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.08677133830304715,0.9633553512926185
1005685,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N][14CH]c1ccccc1F,CC[C@@H](C(=O)NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.15601869612461913,0.912120100230489
