rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
8008757,2.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC([C@H](N)c1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.351300000000004,400.4780000000001,2.0,3.0,83.63,6.0,0.2,4.0,0.6442588884104086
1005661,2.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N][14CH]c1ccccc1F,CC[C@@H](C(=O)ONCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.588600000000004,400.4780000000002,1.0,4.0,58.64,7.0,0.2,4.0,0.5895990631191226
1022194,2.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][14C@H]([15N])c1ccccc1F,CC[C@@H](C(=O)O[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.541300000000004,400.4780000000002,1.0,4.0,72.63,6.0,0.2,4.0,0.486959413224272
1007710,2.0,C[15C]([15N][14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC(NCc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.193500000000003,400.4780000000001,2.0,3.0,69.64,7.0,0.2,4.0,0.6238552810632405
1007538,3.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[15N][14CH]c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)NCc1ccccc1,4.567800000000004,356.46900000000005,1.0,2.0,32.34,6.0,0.20833333333333334,4.0,0.7017057581835984
1005653,3.0,C[15C][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[17O][15N][14CH]c1ccccc1F,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)ONCc1ccccc1,4.3804000000000025,402.4940000000001,2.0,4.0,61.80000000000001,8.0,0.24,4.0,0.4335951619670212
94891,3.0,O=C1c2cccc(F)c2CN1c1ccc([16C@@H]([15N][14CH]c2ccccc2F)[17C](=[17O])[18O])cc1,O=C(O)[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,3.762500000000003,372.4240000000001,2.0,3.0,69.64,6.0,0.13043478260869565,4.0,0.6911983035054124
1022983,3.0,C[15C]1[15N][14C@H](c2ccccc2F)[18O][17C](=[17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)OC(=O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.164300000000003,398.46200000000016,1.0,4.0,58.64,3.0,0.2,5.0,0.6732057348786002
1007708,3.0,C[15C]([15N][14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.307800000000004,384.4790000000001,1.0,3.0,49.410000000000004,7.0,0.2,4.0,0.6178074853285506
1054215,3.0,C[15C]([15N]=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O],CC(N=Cc1ccccc1)[C@@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.522800000000004,398.46200000000016,1.0,3.0,69.97,6.0,0.16,4.0,0.6207002726616315
