rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
41194,[13C].[14C][18O][17C]([16C])[17O][15N].[15C],[14C][18O][17C]([16C])[17O][15N],COC(C)ON
41316,[13C].[14C][18O][17C]([17O])[16C][15N].[15C],[14C][18O][17C]([17O])[16C][15N],COC(O)CN
41320,[13C].[14C][18O][17C](=[17O])[16C][15N].[15C],[14C][18O][17C](=[17O])[16C][15N],COC(=O)CN
42829,[13C].[14C][18O][17C](=[17O])[16C][15N][15C],[14C][18O][17C](=[17O])[16C][15N][15C],COC(=O)CNC
49143,[13C].[14C][18O][17C](=[17O])[15N][16C][15C],[14C][18O][17C](=[17O])[15N][16C][15C],COC(=O)NCC
49287,[13C].[14C][18O][17C]([15N])[16C][15C].[17O],[14C][18O][17C]([15N])[16C][15C],COC(N)CC
49296,[13C].[14C][18O][17C]1([16C][15C])[15N][17O]1,[14C][18O][17C]1([16C][15C])[15N][17O]1,COC1(CC)NO1
49298,[13C].[14C][18O][15N][17C](=[17O])[16C][15C],[14C][18O][15N][17C](=[17O])[16C][15C],CONC(=O)CC
49695,[13C].[14C][18O][15C][16C][17C]([15N])=[17O],[14C][18O][15C][16C][17C]([15N])=[17O],COCCC(N)=O
49934,[13C].[14C][18O][17C]1([15N])[16C][15C][17O]1,[14C][18O][17C]1([15N])[16C][15C][17O]1,COC1(N)CCO1
50333,[13C].[14C][18O][17C](=[17O])[15N][15C][16C],[14C][18O][17C](=[17O])[15N][15C][16C],COC(=O)NCC
50477,[13C].[14C][18O][17C][16C][15C][15N].[17O],[14C][18O][17C][16C][15C][15N],COCCCN
50486,[13C].[14C][18O][17C]1[16C][15C][15N][17O]1,[14C][18O][17C]1[16C][15C][15N][17O]1,COC1CCNO1
50488,[13C].[14C][18O][15N][15C][16C][17C]=[17O],[14C][18O][15N][15C][16C][17C]=[17O],CONCCC=O
50489,[13C].[14C][18O][17C](=[17O])[16C][15C][15N],[14C][18O][17C](=[17O])[16C][15C][15N],COC(=O)CCN
50501,[13C].[14C][18O][17C]1([17O])[16C][15C][15N]1,[14C][18O][17C]1([17O])[16C][15C][15N]1,COC1(O)CCN1
50768,[13C].[14C][18O][15C]([15N])[16C][17C]=[17O],[14C][18O][15C]([15N])[16C][17C]=[17O],COC(N)CC=O
50922,[13C].[14C][18O][17C]1[16C][15C]([15N])[17O]1,[14C][18O][17C]1[16C][15C]([15N])[17O]1,COC1CC(N)O1
51255,[13C].[14C][18O][17C]([17O])[16C][15C]=[15N],[14C][18O][17C]([17O])[16C][15C]=[15N],COC(O)CC=N
51259,[13C].[14C][18O][17C](=[17O])[16C][15C]=[15N],[14C][18O][17C](=[17O])[16C][15C]=[15N],COC(=O)CC=N
51749,[13C].[14C][18O][17C](=[17O])[15C][16C][15N],[14C][18O][17C](=[17O])[15C][16C][15N],COC(=O)CCN
51892,[13C].[14C][18O][17C]1([17O][15N])[15C][16C]1,[14C][18O][17C]1([17O][15N])[15C][16C]1,COC1(ON)CC1
52689,[13C].[14C][18O][17C](=[17O])[15C]([16C])[15N],[14C][18O][17C](=[17O])[15C]([16C])[15N],COC(=O)C(C)N
52851,[13C].[14C][18O][17C]1([17O])[16C][15C]1[15N],[14C][18O][17C]1([17O])[16C][15C]1[15N],COC1(O)CC1N
62266,[13C].[14C][17O][17C]([16C])([15N])[18O].[15C],[14C][17O][17C]([16C])([15N])[18O],COC(C)(N)O
70329,[13C].[14C][17O][17C]([16C][15C])[18O][15N],[14C][17O][17C]([16C][15C])[18O][15N],COC(CC)ON
70348,[13C].[14C][17O][17C]([15N])([18O])[16C][15C],[14C][17O][17C]([15N])([18O])[16C][15C],COC(N)(O)CC
71538,[13C].[14C][17O][17C]([18O])[16C][15C][15N],[14C][17O][17C]([18O])[16C][15C][15N],COC(O)CCN
82406,[13C].[15C][16C][17C]1([15N])[17O][14C][18O]1,[15C][16C][17C]1([15N])[17O][14C][18O]1,CCC1(N)OCO1
82857,[13C].[15N][15C][16C][17C]1[17O][14C][18O]1,[15N][15C][16C][17C]1[17O][14C][18O]1,NCCC1OCO1
94336,[13C].[14C][15N][18O][16C].[15C].[17C]=[17O],[14C][15N][18O][16C],CNOC
94353,[13C].[14C][15N][17C](=[17O])[18O][16C].[15C],[14C][15N][17C](=[17O])[18O][16C],CNC(=O)OC
94393,[13C].[14C][15N][18O][17C][17O][16C].[15C],[14C][15N][18O][17C][17O][16C],CNOCOC
