rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
41194,[13C].[14C][18O][17C]([16C])[17O][15N].[15C],[14C][18O][17C]([16C])[17O][15N],COC(C)ON,-0.1308999999999999,91.11000000000001,1.0,3.0,44.480000000000004,2.0,1.0,0.0,0.3800196790896039
41316,[13C].[14C][18O][17C]([17O])[16C][15N].[15C],[14C][18O][17C]([17O])[16C][15N],COC(O)CN,-1.0901,91.11000000000003,2.0,3.0,55.480000000000004,2.0,1.0,0.0,0.42445218248966954
41320,[13C].[14C][18O][17C](=[17O])[16C][15N].[15C],[14C][18O][17C](=[17O])[16C][15N],COC(=O)CN,-0.8819000000000001,89.09400000000002,1.0,3.0,52.32,1.0,0.6666666666666666,0.0,0.4242005405895023
42829,[13C].[14C][18O][17C](=[17O])[16C][15N][15C],[14C][18O][17C](=[17O])[16C][15N][15C],COC(=O)CNC,-0.6212000000000002,103.12100000000001,1.0,3.0,38.33,2.0,0.75,0.0,0.47317456667071345
49143,[13C].[14C][18O][17C](=[17O])[15N][16C][15C],[14C][18O][17C](=[17O])[15N][16C][15C],COC(=O)NCC,0.3623,103.121,1.0,2.0,38.33,1.0,0.75,0.0,0.5200823417395937
49287,[13C].[14C][18O][17C]([15N])[16C][15C].[17O],[14C][18O][17C]([15N])[16C][15C],COC(N)CC,0.3275999999999997,89.138,1.0,2.0,35.25,2.0,1.0,0.0,0.4945887273379046
49296,[13C].[14C][18O][17C]1([16C][15C])[15N][17O]1,[14C][18O][17C]1([16C][15C])[15N][17O]1,COC1(CC)NO1,0.2314,103.121,1.0,3.0,43.7,2.0,1.0,1.0,0.5086530577074566
49298,[13C].[14C][18O][15N][17C](=[17O])[16C][15C],[14C][18O][15N][17C](=[17O])[16C][15C],CONC(=O)CC,0.07399999999999984,103.121,1.0,2.0,38.33,2.0,0.75,0.0,0.5022414507453914
49695,[13C].[14C][18O][15C][16C][17C]([15N])=[17O],[14C][18O][15C][16C][17C]([15N])=[17O],COCCC(N)=O,-0.49179999999999996,103.12100000000001,1.0,2.0,52.32,3.0,0.75,0.0,0.5235707489542814
49934,[13C].[14C][18O][17C]1([15N])[16C][15C][17O]1,[14C][18O][17C]1([15N])[16C][15C][17O]1,COC1(N)CCO1,-0.33440000000000025,103.121,1.0,3.0,44.480000000000004,1.0,1.0,1.0,0.4618443320666169
50333,[13C].[14C][18O][17C](=[17O])[15N][15C][16C],[14C][18O][17C](=[17O])[15N][15C][16C],COC(=O)NCC,0.3623,103.121,1.0,2.0,38.33,1.0,0.75,0.0,0.5200823417395937
50477,[13C].[14C][18O][17C][16C][15C][15N].[17O],[14C][18O][17C][16C][15C][15N],COCCCN,-0.01839999999999986,89.13800000000002,1.0,2.0,35.25,3.0,1.0,0.0,0.49312039230134647
50486,[13C].[14C][18O][17C]1[16C][15C][15N][17O]1,[14C][18O][17C]1[16C][15C][15N][17O]1,COC1CCNO1,-0.11620000000000003,103.12100000000001,1.0,3.0,30.49,1.0,1.0,1.0,0.5017205730381707
