rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
41194,[13C].[14C][18O][17C]([16C])[17O][15N].[15C],[14C][18O][17C]([16C])[17O][15N],COC(C)ON,0.3996917607452455,0.7404897414868066
41316,[13C].[14C][18O][17C]([17O])[16C][15N].[15C],[14C][18O][17C]([17O])[16C][15N],COC(O)CN,0.4573377673087867,0.6422986863801108
41320,[13C].[14C][18O][17C](=[17O])[16C][15N].[15C],[14C][18O][17C](=[17O])[16C][15N],COC(=O)CN,0.2973205306110639,0.7312295953578466
42829,[13C].[14C][18O][17C](=[17O])[16C][15N][15C],[14C][18O][17C](=[17O])[16C][15N][15C],COC(=O)CNC,0.2730687649486173,0.8427473199410611
49143,[13C].[14C][18O][17C](=[17O])[15N][16C][15C],[14C][18O][17C](=[17O])[15N][16C][15C],COC(=O)NCC,0.12751529793907318,0.8944030302042233
49287,[13C].[14C][18O][17C]([15N])[16C][15C].[17O],[14C][18O][17C]([15N])[16C][15C],COC(N)CC,0.48543211833212635,0.626842428744688
49296,[13C].[14C][18O][17C]1([16C][15C])[15N][17O]1,[14C][18O][17C]1([16C][15C])[15N][17O]1,COC1(CC)NO1,0.43601471917631957,0.7322420857549523
49298,[13C].[14C][18O][15N][17C](=[17O])[16C][15C],[14C][18O][15N][17C](=[17O])[16C][15C],CONC(=O)CC,0.12773139913933243,0.8973784940914871
49695,[13C].[14C][18O][15C][16C][17C]([15N])=[17O],[14C][18O][15C][16C][17C]([15N])=[17O],COCCC(N)=O,0.30814274977994216,0.9748888655494353
49934,[13C].[14C][18O][17C]1([15N])[16C][15C][17O]1,[14C][18O][17C]1([15N])[16C][15C][17O]1,COC1(N)CCO1,0.4963738301069938,0.8161402044588348
50333,[13C].[14C][18O][17C](=[17O])[15N][15C][16C],[14C][18O][17C](=[17O])[15N][15C][16C],COC(=O)NCC,0.18091676040617477,0.8974426456475787
50477,[13C].[14C][18O][17C][16C][15C][15N].[17O],[14C][18O][17C][16C][15C][15N],COCCCN,0.07585139891274702,0.9644705347606215
50486,[13C].[14C][18O][17C]1[16C][15C][15N][17O]1,[14C][18O][17C]1[16C][15C][15N][17O]1,COC1CCNO1,0.33583858736951755,0.8864114461559842
50488,[13C].[14C][18O][15N][15C][16C][17C]=[17O],[14C][18O][15N][15C][16C][17C]=[17O],CONCCC=O,0.21425723570227465,0.8593186792202907
50489,[13C].[14C][18O][17C](=[17O])[16C][15C][15N],[14C][18O][17C](=[17O])[16C][15C][15N],COC(=O)CCN,0.12592770434989198,0.8990028705930826
50501,[13C].[14C][18O][17C]1([17O])[16C][15C][15N]1,[14C][18O][17C]1([17O])[16C][15C][15N]1,COC1(O)CCN1,0.49237876041619755,0.829719985717376
50768,[13C].[14C][18O][15C]([15N])[16C][17C]=[17O],[14C][18O][15C]([15N])[16C][17C]=[17O],COC(N)CC=O,0.45307517347210136,0.6278684432768047
50922,[13C].[14C][18O][17C]1[16C][15C]([15N])[17O]1,[14C][18O][17C]1[16C][15C]([15N])[17O]1,COC1CC(N)O1,0.15173344298105534,0.949826820719532
51255,[13C].[14C][18O][17C]([17O])[16C][15C]=[15N],[14C][18O][17C]([17O])[16C][15C]=[15N],COC(O)CC=N,0.24855712696083007,0.8851989248255254
51259,[13C].[14C][18O][17C](=[17O])[16C][15C]=[15N],[14C][18O][17C](=[17O])[16C][15C]=[15N],COC(=O)CC=N,0.2449180224582893,0.8405136111207876
51749,[13C].[14C][18O][17C](=[17O])[15C][16C][15N],[14C][18O][17C](=[17O])[15C][16C][15N],COC(=O)CCN,0.11658702552916227,0.9098833439728229
51892,[13C].[14C][18O][17C]1([17O][15N])[15C][16C]1,[14C][18O][17C]1([17O][15N])[15C][16C]1,COC1(ON)CC1,0.45647620989668775,0.7633486494192205
52689,[13C].[14C][18O][17C](=[17O])[15C]([16C])[15N],[14C][18O][17C](=[17O])[15C]([16C])[15N],COC(=O)C(C)N,0.31351257863889076,0.7840610534412671
52851,[13C].[14C][18O][17C]1([17O])[16C][15C]1[15N],[14C][18O][17C]1([17O])[16C][15C]1[15N],COC1(O)CC1N,0.5206976126181448,0.7270777288359322
62266,[13C].[14C][17O][17C]([16C])([15N])[18O].[15C],[14C][17O][17C]([16C])([15N])[18O],COC(C)(N)O,0.5707835455812609,0.9719666184803375
70329,[13C].[14C][17O][17C]([16C][15C])[18O][15N],[14C][17O][17C]([16C][15C])[18O][15N],COC(CC)ON,0.4574252073579034,0.6723717843406374
70348,[13C].[14C][17O][17C]([15N])([18O])[16C][15C],[14C][17O][17C]([15N])([18O])[16C][15C],COC(N)(O)CC,0.531728759074952,0.8531573125844962
71538,[13C].[14C][17O][17C]([18O])[16C][15C][15N],[14C][17O][17C]([18O])[16C][15C][15N],COC(O)CCN,0.31914253331040526,0.91997468433549
82406,[13C].[15C][16C][17C]1([15N])[17O][14C][18O]1,[15C][16C][17C]1([15N])[17O][14C][18O]1,CCC1(N)OCO1,0.48510057935399653,0.8491262095126435
82857,[13C].[15N][15C][16C][17C]1[17O][14C][18O]1,[15N][15C][16C][17C]1[17O][14C][18O]1,NCCC1OCO1,0.37979571063084244,0.8423047835185473
94336,[13C].[14C][15N][18O][16C].[15C].[17C]=[17O],[14C][15N][18O][16C],CNOC,0.2042486046769504,0.9575628622491954
94353,[13C].[14C][15N][17C](=[17O])[18O][16C].[15C],[14C][15N][17C](=[17O])[18O][16C],CNC(=O)OC,0.16520297829216013,0.8579947387207064
94393,[13C].[14C][15N][18O][17C][17O][16C].[15C],[14C][15N][18O][17C][17O][16C],CNOCOC,0.15449814241497348,0.953077478275859
94408,[13C].[14C][15N][17C]([18O])[17O][16C].[15C],[14C][15N][17C]([18O])[17O][16C],CNC(O)OC,0.41662998876297846,0.7920758444063182
94497,[13C].[14C][15N]([16C])[17O][17C][18O].[15C],[14C][15N]([16C])[17O][17C][18O],CN(C)OCO,0.21649531269291308,0.8748555543551979
94501,[13C].[14C][15N]([16C])[18O].[15C].[17C]=[17O],[14C][15N]([16C])[18O],CN(C)O,0.5314407728766131,0.5497814615309236
94503,[13C].[14C][15N]([16C])[18O][17C]=[17O].[15C],[14C][15N]([16C])[18O][17C]=[17O],CN(C)OC=O,0.2845812778249157,0.7669784841548571
94513,[13C].[14C][15N]([16C])[17C]([17O])[18O].[15C],[14C][15N]([16C])[17C]([17O])[18O],CN(C)C(O)O,0.5082449323866453,0.9062560656246389
94516,[13C].[14C][15N]([16C])[17C]=[17O].[15C].[18O],[14C][15N]([16C])[17C]=[17O],CN(C)C=O,0.3270193422228349,0.7098858060128942
94517,[13C].[14C][15N]([16C])[17C](=[17O])[18O].[15C],[14C][15N]([16C])[17C](=[17O])[18O],CN(C)C(=O)O,0.3916414560234384,0.6378826344719628
94531,[13C].[14C][15N][16C][18O].[15C].[17C]=[17O],[14C][15N][16C][18O],CNCO,0.3625344074640043,0.7600927507243982
94533,[13C].[14C][15N][16C][18O][17C]=[17O].[15C],[14C][15N][16C][18O][17C]=[17O],CNCOC=O,0.23838667778424497,0.8328190209261667
94541,[13C].[14C][15N]1[16C][18O][17C]1=[17O].[15C],[14C][15N]1[16C][18O][17C]1=[17O],CN1COC1=O,0.4601553330831878,0.6161228828782405
94563,[13C].[14C][15N][16C][17O][17C][18O].[15C],[14C][15N][16C][17O][17C][18O],CNCOCO,0.07083846597816207,0.9589517648033451
94671,[13C].[14C][15N][18O][17O][17C][16C].[15C],[14C][15N][18O][17O][17C][16C],CNOOCC,0.179121759380603,0.9056850392361446
94673,[13C].[14C][15N][17O][17C][16C].[15C].[18O],[14C][15N][17O][17C][16C],CNOCC,0.24133582309462653,0.9073126546874264
94674,[13C].[14C][15N]([18O])[17O][17C][16C].[15C],[14C][15N]([18O])[17O][17C][16C],CN(O)OCC,0.27608561505778817,0.8610100912779027
94677,[13C].[14C][15N][18O][17C]([16C])[17O].[15C],[14C][15N][18O][17C]([16C])[17O],CNOC(C)O,0.2755312297826357,0.8195114809743315
94679,[13C].[14C][15N]1[17O][17C]([16C])[18O]1.[15C],[14C][15N]1[17O][17C]([16C])[18O]1,CN1OC(C)O1,0.22515703679607102,0.9227681050606651
94686,[13C].[14C][15N][18O][17C]([16C])=[17O].[15C],[14C][15N][18O][17C]([16C])=[17O],CNOC(C)=O,0.2422147956395554,0.8916827219086211
94687,[13C].[14C][15N][17C][16C].[15C].[17O].[18O],[14C][15N][17C][16C],CNCC,0.3120632048122301,0.8552873970097961
94701,[13C].[14C][15N][17C]([16C])[17O].[15C].[18O],[14C][15N][17C]([16C])[17O],CNC(C)O,0.34362993986466234,0.7586737006091396
94702,[13C].[14C][15N][17C]([16C])[17O][18O].[15C],[14C][15N][17C]([16C])[17O][18O],CNC(C)OO,0.291682495206667,0.8152499452178802
94703,[13C].[14C][15N]([18O])[17C]([16C])[17O].[15C],[14C][15N]([18O])[17C]([16C])[17O],CN(O)C(C)O,0.5170410554505783,0.8887899444876987
94705,[13C].[14C][15N]1[17O][17C]1[16C].[15C].[18O],[14C][15N]1[17O][17C]1[16C],CN1OC1C,0.3696629668487435,0.8340089458797745
94706,[13C].[14C][15N][17C]([16C])([17O])[18O].[15C],[14C][15N][17C]([16C])([17O])[18O],CNC(C)(O)O,0.5602581716902743,0.9560200878948494
94707,[13C].[14C][15N][17C]1([16C])[17O][18O]1.[15C],[14C][15N][17C]1([16C])[17O][18O]1,CNC1(C)OO1,0.4682167136327682,0.7876000709367441
94708,[13C].[14C][15N]1[18O][17C]1([16C])[17O].[15C],[14C][15N]1[18O][17C]1([16C])[17O],CN1OC1(C)O,0.4899938944711196,0.8649559311446726
94710,[13C].[14C][15N][17C]([16C])=[17O].[15C].[18O],[14C][15N][17C]([16C])=[17O],CNC(C)=O,0.2852966186213199,0.7513064241117802
94711,[13C].[14C][15N]([18O])[17C]([16C])=[17O].[15C],[14C][15N]([18O])[17C]([16C])=[17O],CN(O)C(C)=O,0.3904288275113627,0.6384982327020288
94715,[13C].[14C][15N]=[17C]([16C])[18O].[15C].[17O],[14C][15N]=[17C]([16C])[18O],CN=C(C)O,0.3209858542798904,0.7218048024568685
94737,[13C].[14C][15N][18O][16C][17C]=[17O].[15C],[14C][15N][18O][16C][17C]=[17O],CNOCC=O,0.0956572808184978,0.9623315780279443
94752,[13C].[14C][15N][17C](=[17O])[16C][18O].[15C],[14C][15N][17C](=[17O])[16C][18O],CNC(=O)CO,0.18363390103208702,0.8444588503769593
94753,[13C].[14C][15N]1[18O][16C][17C]1=[17O].[15C],[14C][15N]1[18O][16C][17C]1=[17O],CN1OCC1=O,0.44671168668684946,0.6175273052522333
94781,[13C].[14C][15N][18O][17C][16C][17O].[15C],[14C][15N][18O][17C][16C][17O],CNOCCO,0.11969800786829453,0.9343940801329378
94782,[13C].[14C][15N][17O][16C][17C][18O].[15C],[14C][15N][17O][16C][17C][18O],CNOCCO,0.0758280679275474,0.9673168484208059
94790,[13C].[14C][15N][18O][17C]1[16C][17O]1.[15C],[14C][15N][18O][17C]1[16C][17O]1,CNOC1CO1,0.1370819175103077,0.9522266387271948
94797,[13C].[14C][15N][17C]([18O])[16C][17O].[15C],[14C][15N][17C]([18O])[16C][17O],CNC(O)CO,0.2156117756159979,0.8420073802999519
94803,[13C].[14C][15N][17C]1[16C][17O]1.[15C].[18O],[14C][15N][17C]1[16C][17O]1,CNC1CO1,0.26969235646631207,0.871053335923411
94805,[13C].[14C][15N][17C]1([18O])[16C][17O]1.[15C],[14C][15N][17C]1([18O])[16C][17O]1,CNC1(O)CO1,0.5107575762256538,0.7865989732548195
94806,[13C].[14C][15N]1[18O][17C]12[16C][17O]2.[15C],[14C][15N]1[18O][17C]12[16C][17O]2,CN1OC12CO2,0.33731720910806484,0.8699446962289791
94864,[13C].[14C][15N][16C][17C].[15C].[17O].[18O],[14C][15N][16C][17C],CNCC,0.1499810131853812,0.9304898078679634
94872,[13C].[14C][15N][16C][17C][18O][17O].[15C],[14C][15N][16C][17C][18O][17O],CNCCOO,0.13568602330129492,0.9333594332582953
94873,[13C].[14C][15N]1[16C][17C][18O]1.[15C].[17O],[14C][15N]1[16C][17C][18O]1,CN1CCO1,0.48771586242399184,0.8456264372057404
94874,[13C].[14C][15N]([17O])[16C][17C][18O].[15C],[14C][15N]([17O])[16C][17C][18O],CN(O)CCO,0.21050505490785368,0.8643134147116169
94878,[13C].[14C][15N][16C][17C][17O].[15C].[18O],[14C][15N][16C][17C][17O],CNCCO,0.3133322219616015,0.9150320651246326
94883,[13C].[14C][15N][16C][17C]([17O])[18O].[15C],[14C][15N][16C][17C]([17O])[18O],CNCC(O)O,0.29712952978177115,0.9039828325309616
94884,[13C].[14C][15N][16C][17C]1[17O][18O]1.[15C],[14C][15N][16C][17C]1[17O][18O]1,CNCC1OO1,0.21206739806314895,0.9411129618635952
94885,[13C].[14C][15N]1[16C][17C]([17O])[18O]1.[15C],[14C][15N]1[16C][17C]([17O])[18O]1,CN1CC(O)O1,0.26302222226461913,0.9013096446702309
94889,[13C].[14C][15N][16C][17C]=[17O].[15C].[18O],[14C][15N][16C][17C]=[17O],CNCC=O,0.3964861229547309,0.7808501989678708
