rmat_tag,pdt_smiles
11034108,C[15C]=[14CH]c1ccccc1F.[13C].[15N].[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[17O]=[17C][18O]
11034820,C[15C]=[14CH]c1ccccc1F.O=C1c2cccc(F)c2CN1c1ccc([16CH][17C]([17O])[18O])cc1.[13C].[15N]
11034827,C[15C]=[14CH]c1ccccc1F.O=C1c2cccc(F)c2CN1c1ccc([16CH][17C]=[17O])cc1.[13C].[15N].[18O]
11034830,C[15C]=[14CH]c1ccccc1F.O=C1c2cccc(F)c2CN1c1ccc([16CH][17C](=[17O])[18O])cc1.[13C].[15N]
11034831,C[15C]=[14CH]c1ccccc1F.[13C].[15N][18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1
11034908,C[15C]=[14CH]c1ccccc1F.O=C1c2cccc(F)c2CN1c1ccc([16C@H]2[18O][17C]2=[17O])cc1.[13C].[15N]
11035116,C[15C]=[14CH]c1ccccc1F.[13C].[15N][16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O]
11036180,C[15C](=[14CH]c1ccccc1F)[18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
11038763,C[15C]([15N])=[14CH]c1ccccc1F.O=C1c2cccc(F)c2CN1c1ccc([16CH][17C](=[17O])[18O])cc1.[13C]
11045405,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O][17C][18O]
11045412,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17C]=[17O].[18O]
11045415,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]=[17C][18O]
11045416,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][18O][17C]=[17O]
11045417,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]=[17C]=[18O]
11045456,C[15C](=[14CH]c1ccccc1F)[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][17C](=[17O])[18O]
11045510,C[15C](=[14CH]c1ccccc1F)[16C@H]([18O][17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N]
11045743,C[15C](=[14CH]c1ccccc1F)[16C@H]([15N])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[17O]=[17C][18O]
11046042,C[15C](=[14CH]c1ccccc1F)[16C@@H]([17C][18O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[17O]
11046053,C[15C](=[14CH]c1ccccc1F)[16C@@H]([17C][17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[18O]
11046061,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O].[13C].[15N]
11046062,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]1[17O][18O]1.[13C].[15N]
11046063,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])[18O][15N].[13C]
11046064,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([18O])[17O][15N].[13C]
11046066,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([17O])=[18O].[13C].[15N]
11046068,C[15C](=[14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N].[18O]
11046069,C[15C](=[14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1.[13C].[15N][18O]
11046071,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O].[13C].[15N]
11046072,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[18O][15N].[13C]
11046101,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([15N])([17O])[18O].[13C]
11046106,C[15C](=[14CH]c1ccccc1F)[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C]([15N])=[17O].[13C].[18O]
