rmat_tag,pdt_smiles
4011478,[13C].[15C][16C][14C][18O][17C]([15N])=[17O]
4012344,[13C].[15N][15C][16C][14C][18O][17C]=[17O]
4042992,[13C].[15C].[16C][14C][15N][17O][17C][18O]
4042997,[13C].[15C].[16C][14C][15N][18O].[17C]=[17O]
4043000,[13C].[15C].[16C][14C][15N][18O][17C]=[17O]
4043021,[13C].[15C].[16C][14C][15N][17C]([17O])[18O]
4043027,[13C].[15C].[16C][14C][15N][17C]=[17O].[18O]
4043029,[13C].[15C].[16C][14C][15N][17C](=[17O])[18O]
4043030,[13C].[15C].[16C][14C][15N]1[18O][17C]1=[17O]
4043059,[13C].[15C].[15N][14C][16C][18O].[17C]=[17O]
4043061,[13C].[15C].[15N][14C][16C][18O][17C]=[17O]
4043077,[13C].[15C].[17O]=[17C]1[15N][14C][16C][18O]1
4043116,[13C].[15C].[15N][14C][16C][17O][17C][18O]
4043224,[13C].[15C].[17O]=[17C][18O][15N]1[14C][16C]1
4043238,[13C].[15C].[17O]=[17C]([18O])[15N]1[14C][16C]1
4043347,[13C].[15C].[17C][16C][14C][15N].[17O].[18O]
4043368,[13C].[15C].[15N][14C][16C][17C][17O].[18O]
4043369,[13C].[15C].[15N][14C][16C][17C][17O][18O]
4043370,[13C].[15C].[17O][17C][16C][14C][15N][18O]
4043373,[13C].[14C]1[16C][17C][17O][15N]1.[15C].[18O]
4043375,[13C].[15C].[15N][14C][16C][17C]([17O])[18O]
4043376,[13C].[15C].[15N][14C][16C][17C]1[17O][18O]1
4043378,[13C].[15C].[18O][17C]1[16C][14C][15N][17O]1
4043379,[13C].[14C]1[16C][17C]2[17O][15N]1[18O]2.[15C]
4043382,[13C].[15C].[15N][14C][16C][17C]=[17O].[18O]
4043383,[13C].[15C].[17O]=[17C][16C][14C][15N][18O]
4043384,[13C].[15C].[17O]=[17C][16C][14C][15N]=[18O]
4043385,[13C].[15C].[15N][14C][16C][17C](=[17O])[18O]
4043386,[13C].[15C].[17O]=[17C]1[16C][14C][15N][18O]1
4043401,[13C].[15C].[17O][17C]1[16C][14C][15N]1.[18O]
4043406,[13C].[15C].[17O][17C]1([18O])[16C][14C][15N]1
4043407,[13C].[14C]1[16C][17C]2([15N]1)[17O][18O]2.[15C]
4043409,[13C].[15C].[18O][17C]12[16C][14C][15N]1[17O]2
4043410,[13C].[15C].[17O]=[17C]1[16C][14C][15N]1.[18O]
4043411,[13C].[15C].[17O]=[17C]1[16C][14C][15N]1[18O]
4043866,[13C].[15C][18O][17C](=[17O])[15N][14C][16C]
4044010,[13C].[15C][18O][17C][16C][14C][15N].[17O]
4044021,[13C].[15C][18O][15N][14C][16C][17C]=[17O]
4044022,[13C].[15C][18O][17C](=[17O])[16C][14C][15N]
4044557,[13C].[15C][17O][17C]([18O])[16C][14C][15N]
4044558,[13C].[15C][17O][17C]1[16C][14C][15N][18O]1
4044573,[13C].[15C][17O][17C]1([18O])[16C][14C][15N]1
4044875,[13C].[15N][14C][16C][17C]1[17O][15C][18O]1
4045282,[13C].[15C][15N][14C][16C].[17O]=[17C][18O]
4045283,[13C].[15C][15N]([14C][16C])[18O][17C]=[17O]
4045297,[13C].[15C][15N]([14C][16C])[17C](=[17O])[18O]
4045313,[13C].[15C][15N][14C][16C][18O][17C]=[17O]
4045398,[13C].[15C][15N]1[14C][16C]1.[17O]=[17C][18O]
4045434,[13C].[15C][15N][14C][16C][17C][18O].[17O]
4045446,[13C].[15C][15N][14C][16C][17C]([17O])[18O]
4045447,[13C].[15C][15N][14C][16C][17C]1[17O][18O]1
4045448,[13C].[15C][15N]1[14C][16C][17C]([17O])[18O]1
4045452,[13C].[15C][15N][14C][16C][17C]=[17O].[18O]
4045453,[13C].[15C][15N]([18O])[14C][16C][17C]=[17O]
4045454,[13C].[15C][15N][14C][16C][17C](=[17O])[18O]
4045455,[13C].[15C][15N]1[14C][16C][17C](=[17O])[18O]1
4045464,[13C].[15C][15N]1[14C][16C][17C]1([17O])[18O]
4045466,[13C].[15C][15N]1[14C][16C][17C]1=[17O].[18O]
4045690,[13C].[16C][14C][15N][15C][18O][17C]=[17O]
4045766,[13C].[17O]=[17C][16C][14C][15N][15C][18O]
4045768,[13C].[17O]=[17C]1[16C][14C][15N][15C][18O]1
4046036,[13C].[18O][17C]1[16C][14C][15N][15C][17O]1
4046402,[13C].[15C]=[15N][14C][16C].[17O]=[17C][18O]
4046443,[13C].[15C]=[15N][14C][16C][17C]([17O])[18O]
4046446,[13C].[15C]=[15N][14C][16C][17C]=[17O].[18O]
4046447,[13C].[15C]=[15N][14C][16C][17C](=[17O])[18O]
4046535,[13C].[17O]=[17C]1[16C][14C][15N]=[15C][18O]1
4046739,[13C].[15C][17C](=[17O])[18O][15N][14C][16C]
4046791,[13C].[15C][17C](=[17O])[18O][16C][14C][15N]
4047083,[13C].[15C][17C]([17O])[16C][14C][15N].[18O]
4047090,[13C].[15C][17C]([17O])([18O])[16C][14C][15N]
4047091,[13C].[15C][17C]1([16C][14C][15N])[17O][18O]1
4047093,[13C].[15C][17C]1([18O])[16C][14C][15N][17O]1
4047095,[13C].[15C][17C](=[17O])[16C][14C][15N].[18O]
4047096,[13C].[15C][17C](=[17O])[16C][14C][15N][18O]
4047593,[13C].[15N][14C][16C][17C](=[17O])[15C][18O]
4048043,[13C].[15N][14C][16C][17C]1([18O])[15C][17O]1
4048623,[13C].[16C][14C][15N][15C][17C](=[17O])[18O]
4048781,[13C].[17O][17C]1([18O])[15C][15N][14C][16C]1
4048785,[13C].[17O]=[17C]1[15C][15N][14C][16C]1.[18O]
4052218,[13C].[15C][16C][14C][15N][17O][17C].[18O]
4052222,[13C].[15C][16C][14C][15N][18O][17C][17O]
4052224,[13C].[15C][16C][14C][15N]1[17O][17C][18O]1
4052228,[13C].[15C][16C][14C][15N][18O].[17C]=[17O]
4052229,[13C].[15C][16C][14C][15N]=[18O].[17C]=[17O]
4052230,[13C].[15C][16C][14C][15N].[17O]=[17C][18O]
4052231,[13C].[15C][16C][14C][15N][18O][17C]=[17O]
4052247,[13C].[15C][16C][14C][15N][17C][17O].[18O]
4052252,[13C].[15C][16C][14C][15N][17C]([17O])[18O]
4052253,[13C].[15C][16C][14C][15N][17C]1[17O][18O]1
4052255,[13C].[15C][16C][14C][15N]1[17O][17C]1[18O]
4052258,[13C].[15C][16C][14C][15N][17C]=[17O].[18O]
4052259,[13C].[15C][16C][14C][15N]([18O])[17C]=[17O]
4052260,[13C].[15C][16C][14C][15N][17C](=[17O])[18O]
4052261,[13C].[15C][16C][14C][15N]1[18O][17C]1=[17O]
4052270,[13C].[15C][16C][14C][15N]=[17C]([17O])[18O]
4052272,[13C].[15C][16C][14C][15N]=[17C]=[17O].[18O]
4052771,[13C].[17C][18O][15C][16C][14C][15N].[17O]
4052779,[13C].[15N][14C][16C][15C][18O][17C][17O]
4052780,[13C].[14C]1[16C][15C][18O][17C][17O][15N]1
4052781,[13C].[15N][14C][16C][15C][18O].[17C]=[17O]
4052782,[13C].[14C]1[16C][15C][18O][15N]1.[17C]=[17O]
4052783,[13C].[15N][14C][16C][15C][18O][17C]=[17O]
4052797,[13C].[17O]=[17C][15N][14C][16C][15C][18O]
4052799,[13C].[17O]=[17C]1[15N][14C][16C][15C][18O]1
4053051,[13C].[15N][14C][16C][15C]=[18O].[17C]=[17O]
4053160,[13C].[18O][17C]1[15N][14C][16C][15C][17O]1
4053418,[13C].[15N][14C][16C][15C]1[17O][17C][18O]1
4053743,[13C].[18O][17C][17O][15N]1[14C][16C][15C]1
4053747,[13C].[17C]=[17O].[18O][15N]1[14C][16C][15C]1
4053748,[13C].[14C]1[16C][15C][15N]1.[17O]=[17C][18O]
4053749,[13C].[17O]=[17C][18O][15N]1[14C][16C][15C]1
4053759,[13C].[17O][17C]([18O])[15N]1[14C][16C][15C]1
4053762,[13C].[17O]=[17C][15N]1[14C][16C][15C]1.[18O]
4053763,[13C].[17O]=[17C]([18O])[15N]1[14C][16C][15C]1
4054016,[13C].[17C]=[17O].[18O][15C]1[16C][14C][15N]1
4054018,[13C].[17O]=[17C][18O][15C]1[16C][14C][15N]1
4054026,[13C].[17O]=[17C]1[18O][15C]2[16C][14C][15N]21
4054204,[13C].[18O][17C][17O][15C]1[16C][14C][15N]1
4054468,[13C].[14C]1[16C][15C]=[15N]1.[17O]=[17C][18O]
4054644,[13C].[15N][14C][16C][15C][17C][17O].[18O]
4054651,[13C].[15N][14C][16C][15C][17C]([17O])[18O]
4054652,[13C].[15N][14C][16C][15C][17C]1[17O][18O]1
4054654,[13C].[18O][17C]1[15C][16C][14C][15N][17O]1
4054658,[13C].[15N][14C][16C][15C][17C]=[17O].[18O]
4054659,[13C].[17O]=[17C][15C][16C][14C][15N][18O]
4054661,[13C].[15N][14C][16C][15C][17C](=[17O])[18O]
4054662,[13C].[17O]=[17C]1[15C][16C][14C][15N][18O]1
4054682,[13C].[17O][17C]1([18O])[15C][16C][14C][15N]1
4054686,[13C].[17O]=[17C]1[15C][16C][14C][15N]1.[18O]
4055122,[13C].[15N][14C][16C][15C]1[18O][17C]1[17O]
4055124,[13C].[15N][14C][16C][15C]([18O])[17C]=[17O]
4055126,[13C].[15N][14C][16C][15C]1[18O][17C]1=[17O]
4055897,[13C].[17O][17C]([18O])[15C]1[16C][14C][15N]1
4055903,[13C].[17O]=[17C][15C]1[16C][14C][15N]1.[18O]
4055905,[13C].[17O]=[17C]([18O])[15C]1[16C][14C][15N]1
4055906,[13C].[17O]=[17C]1[18O][15N]2[14C][16C][15C]12
4056488,[13C].[15N][14C][16C][15C]=[17C]([17O])[18O]
4056493,[13C].[15N][14C][16C][15C]=[17C]=[17O].[18O]
