,smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3,min_dist_all,local_index
0,C.C1=CC=1.N.O=CO,7.0,6.0,8.0,7.0,6.0,390
1,C.N.O=C1OC2=C1C2,8.0,7.0,7.0,6.0,6.0,4817
2,C.C=C(C)N.O=CO,8.0,7.0,7.0,6.0,6.0,11726
3,C.CC(N)=CC(O)O,8.0,7.0,7.0,6.0,6.0,12040
4,C.CC(N)=CC=O.O,8.0,7.0,7.0,6.0,6.0,12047
5,C.CC(N)=CC(=O)O,7.0,6.0,6.0,5.0,5.0,12050
6,C.Cc1cc(=O)o[nH]1,8.0,7.0,7.0,6.0,6.0,12051
7,C.CC(N)=C1OC1=O,8.0,7.0,7.0,6.0,6.0,12103
8,C.CC1=C(C(=O)O)N1,8.0,7.0,7.0,6.0,6.0,12191
9,C.NC1=CC(=O)OC1,8.0,7.0,7.0,6.0,6.0,12430
10,C.O=C(O)C=C1CN1,8.0,7.0,7.0,6.0,6.0,13395
11,C.NC1=CC1.OCO,8.0,7.0,7.0,6.0,6.0,17068
12,C.C=O.NC1=CC1.O,8.0,7.0,7.0,6.0,6.0,17075
13,C.NC1=CC1.O=CO,7.0,6.0,6.0,5.0,5.0,17078
14,C.O=CONC1=CC1,8.0,7.0,7.0,6.0,6.0,17079
15,C.NC1=CC1.O=C=O,8.0,7.0,7.0,6.0,6.0,17080
16,C.O=C(O)NC1=CC1,8.0,7.0,7.0,6.0,6.0,17108
17,C.NC1=C(OC=O)C1,8.0,7.0,7.0,6.0,6.0,17140
18,C.C1C2=C1N2.O=CO,8.0,7.0,7.0,6.0,6.0,17234
19,C.NC1=C(CO)C1.O,8.0,7.0,7.0,6.0,6.0,17261
20,C.NC1=C(CO)C1.O,8.0,7.0,7.0,6.0,6.0,17271
21,C.NC1=C(C(O)O)C1,7.0,6.0,6.0,5.0,5.0,17278
22,C.NC1=C(C2OO2)C1,8.0,7.0,7.0,6.0,6.0,17279
23,C.OC1ONC2=C1C2,8.0,7.0,7.0,6.0,6.0,17280
24,C.OC1ONC2=C1C2,8.0,7.0,7.0,6.0,6.0,17281
25,C.NC1=C(C(=O)O)C1,8.0,7.0,7.0,6.0,6.0,17283
26,C.NC1=C(C=O)C1.O,7.0,6.0,6.0,5.0,5.0,17285
27,C.O=CC1=C(NO)C1,8.0,7.0,7.0,6.0,6.0,17286
28,C.NC1=C(C(=O)O)C1,6.0,5.0,5.0,4.0,4.0,17288
29,C.O=c1o[nH]c2c1C2,7.0,6.0,6.0,5.0,5.0,17289
30,C.OC1(O)NC2=C1C2,8.0,7.0,7.0,6.0,6.0,17309
31,C.O.O=C1NC2=C1C2,8.0,7.0,7.0,6.0,6.0,17313
32,C.NC1=CC1OC=O,8.0,7.0,7.0,6.0,6.0,17341
33,C.NC1=C2C(O)OC12,8.0,7.0,7.0,6.0,6.0,17442
34,C.NC1=C(C=O)C1O,8.0,7.0,7.0,6.0,6.0,17444
35,C.NC1=C2C(=O)OC12,7.0,6.0,6.0,5.0,5.0,17446
36,C.NC1=C2C(O)OC12,8.0,7.0,7.0,6.0,6.0,17632
37,C.C1=C2NC12.O=CO,8.0,7.0,7.0,6.0,6.0,17802
38,C.OC(O)C1=C2NC21,8.0,7.0,7.0,6.0,6.0,17899
39,C.O.O=CC1=C2NC12,8.0,7.0,7.0,6.0,6.0,17905
40,C.O=C(O)C1=C2NC21,7.0,6.0,6.0,5.0,5.0,17907
41,C.O=c1on2c3c1C32,8.0,7.0,7.0,6.0,6.0,17908
42,C.O=C1OC23NC2=C13,8.0,7.0,7.0,6.0,6.0,17989
43,C.O=C(O)C1=C2N=C21,8.0,7.0,7.0,6.0,6.0,18116
44,C.NC1=CC1C(=O)O,8.0,7.0,7.0,6.0,6.0,18155
45,C.NC1=C2C1C2(O)O,8.0,7.0,7.0,6.0,6.0,18337
46,C.NC1=C2C(=O)C12.O,8.0,7.0,7.0,6.0,6.0,18342
47,C.NC1=C=C1.OCO,7.0,6.0,8.0,7.0,6.0,18970
48,C.C=O.NC1=C=C1.O,7.0,6.0,8.0,7.0,6.0,18977
49,C.NC1=C=C1.O=CO,6.0,5.0,7.0,6.0,5.0,18980
50,C.O=CONC1=C=C1,7.0,6.0,8.0,7.0,6.0,18981
51,C.NC1=C=C1.O=C=O,7.0,6.0,8.0,7.0,6.0,18982
52,C.O=C(O)NC1=C=C1,7.0,6.0,8.0,7.0,6.0,19010
53,C.NC1=C=C1OC=O,7.0,6.0,8.0,7.0,6.0,19042
54,C.C1=C2NC=12.O=CO,7.0,6.0,8.0,7.0,6.0,19136
55,C.NC1=C=C1C(=O)O,7.0,6.0,8.0,7.0,6.0,19190
56,C.C.C=C.N.O=CO,8.0,7.0,7.0,6.0,6.0,34108
57,C.C=C.CC(O)O.N,8.0,7.0,7.0,6.0,6.0,34820
58,C.C=C.CC=O.N.O,8.0,7.0,7.0,6.0,6.0,34827
59,C.C=C.CC(=O)O.N,7.0,6.0,6.0,5.0,5.0,34830
60,C.C=C.CC(=O)ON,8.0,7.0,7.0,6.0,6.0,34831
61,C.C=C.N.O=C1CO1,8.0,7.0,7.0,6.0,6.0,34908
