,smiles,min_dist_all,natoms,drugbank_matches
0,COON,7.0,4,0
1,CONO,7.0,4,18
2,CON=O,8.0,4,19
3,NOCO,5.0,4,4
4,C1ONO1,6.0,4,0
5,NOC=O,4.0,4,10
6,CNOO,6.0,4,0
7,CN(O)O,6.0,4,0
8,Cn1oo1,7.0,4,0
9,NCOO,6.0,4,6
10,OCNO,6.0,4,9
11,C1NOO1,7.0,4,0
12,ON1CO1,7.0,4,0
13,O=NCO,7.0,4,0
14,O=CNO,6.0,4,153
15,O=CN=O,7.0,4,3
16,NC(O)O,5.0,4,11
17,NC1OO1,6.0,4,0
18,OC1NO1,6.0,4,0
19,O1C2ON12,7.0,4,0
20,NC(=O)O,4.0,4,334
21,O=C1NO1,5.0,4,0
22,C=NOO,7.0,4,0
23,N=COO,7.0,4,0
24,OC=NO,7.0,4,2
25,c1noo1,8.0,4,0
26,O=C=NO,7.0,4,0
27,N=C(O)O,6.0,4,4
28,N=C1OO1,7.0,4,0
29,OC1=NO1,7.0,4,0
30,N#COO,8.0,4,0
31,COOC,7.0,4,11
32,CONOC,8.0,5,0
33,COCO,5.0,4,702
34,COCON,6.0,5,4
35,COC=O,4.0,4,1465
36,CNOC,5.0,4,43
37,CNOOC,6.0,5,0
38,CON(C)O,6.0,5,0
39,COCN,5.0,4,921
40,COCNO,6.0,5,0
41,COCN=O,7.0,5,0
42,COOCN,6.0,5,0
43,CONCO,6.0,5,0
44,CON1CO1,7.0,5,0
45,COC(N)O,6.0,5,11
46,COC1NO1,7.0,5,0
47,CONC=O,7.0,5,24
48,COC(N)=O,5.0,5,320
49,C=NOC,6.0,4,74
50,C=NOOC,7.0,5,0
51,COC=N,6.0,4,39
52,COC=NO,7.0,5,2
53,COOC=N,7.0,5,0
54,CON=CO,7.0,5,2
55,COC(=N)O,7.0,5,4
56,COC1=NO1,8.0,5,0
57,CON=C=O,8.0,5,0
58,COC#N,7.0,4,0
59,COOC#N,8.0,5,0
60,C1OCO1,6.0,4,0
61,CNOCO,4.0,5,2
62,CN1OCO1,5.0,5,0
63,NCOCO,4.0,5,14
64,C1NOCO1,5.0,5,0
65,NC1OCO1,5.0,5,0
66,C=NOCO,5.0,5,2
67,N=COCO,5.0,5,0
68,C1=NOCO1,6.0,5,0
69,N=C1OCO1,6.0,5,0
70,N#COCO,6.0,5,0
71,CNOC=O,3.0,5,2
72,NCOC=O,3.0,5,10
