,smiles,pmi_x,pmi_y
0,NOCO,0.2596537674695105,0.8431150036581775
1,C1ONO1,0.6151654018767775,0.6223689371747058
2,NOC=O,0.21382005838843524,0.8140031945075121
3,CNOO,0.12374482002363817,0.9511913509205158
4,CN(O)O,0.5326332636558428,0.581271298494824
5,NCOO,0.30270010156084565,0.8081081813539874
6,OCNO,0.307687485271532,0.7746377715242625
7,O=CNO,0.21887194560816461,0.787802958205753
8,NC(O)O,0.5788752678056298,0.5890820647118059
9,NC1OO1,0.29900770238611246,0.874493038256729
10,OC1NO1,0.2933809391940464,0.874144329951022
11,NC(=O)O,0.45574134923592474,0.5785740678939071
12,O=C1NO1,0.20227066935899213,0.7977293306499348
13,N=C(O)O,0.4165053703055244,0.5931076946115109
14,COCO,0.280484705340006,0.8387444046831402
15,COCON,0.15911080095116112,0.921990940231299
16,COC=O,0.267646531943288,0.7653512316145048
17,CNOC,0.1492455405616303,0.9553277112638231
18,CNOOC,0.17678388247140123,0.9284695889892651
19,CON(C)O,0.330473378731715,0.7447993815417612
20,COCN,0.2963430747662013,0.8451183267844914
21,COCNO,0.12603113539464875,0.9925869611448759
22,COOCN,0.2531941886419842,0.9493897898464637
23,CONCO,0.26350765252613445,0.8527007457408428
24,COC(N)O,0.376026420639677,0.7689296803217075
25,COC(N)=O,0.27622985531520367,0.761316239903541
26,C=NOC,0.13148467999483968,0.9816677532957193
27,COC=N,0.2597764671620101,0.7732058555545018
28,C1OCO1,0.5928062305348666,0.6233178423473829
29,CNOCO,0.14963131838023983,0.9629758359902636
30,CN1OCO1,0.31674338974159116,0.8107272807598791
31,NCOCO,0.1817768790946256,0.9062095152228256
32,C1NOCO1,0.5362525553078946,0.5528575895265123
33,NC1OCO1,0.3977476924045857,0.8150101604854283
34,C=NOCO,0.1902549042073497,0.9272897004210794
35,N=COCO,0.3346710551667102,0.780929003045664
36,C1=NOCO1,0.5030346662738397,0.5516367080717902
37,N=C1OCO1,0.28251302349134116,0.7506997906343448
38,N#COCO,0.06009866658925723,0.9605366767542103
39,CNOC=O,0.23188079230739655,0.8972541160110179
40,NCOC=O,0.13220739125988334,0.8980654532468892
41,C=NOC=O,0.13352252522930622,0.8687935960526006
42,N=COC=O,0.35818530329561804,0.6418146979387559
43,N#COC=O,0.21097556527730363,0.7890322091165316
44,CN(C)O,0.5125400376410583,0.5722535561050931
45,CNCO,0.15900197942632677,0.9491564271834088
46,CNCOO,0.08938265087356252,0.9488339073596229
47,CN1CO1,0.3230114808675164,0.8607344894962293
48,CN(O)CO,0.3265847293911915,0.7391613766842839
49,CNC=O,0.2731961069089916,0.7591819990632938
50,CN(O)C=O,0.3145933492514908,0.7100115069436891
51,CNC(O)O,0.4965965461020624,0.7972712635269659
52,CNC1OO1,0.22452312411741845,0.8800624626639266
53,CN1OC1O,0.25366692884837233,0.8650236677321129
54,CNC(=O)O,0.26189832063148083,0.7588149338640429
55,CN1OC1=O,0.23414772180240162,0.7869347174533566
56,CN=CO,0.08653179523186477,0.9417549746840177
57,CN=C=O,0.07866602112768066,0.9683996250310871
58,CN=C(O)O,0.3122461549168383,0.7085859196124361
59,CN=C1OO1,0.1399000337149995,0.8785551901597294
60,C1NCO1,0.5920374313065484,0.6142580114564737
61,OCNCO,0.10870316660761892,0.9611675647396366
62,OC1NCO1,0.31451893955519866,0.8042101262531551
63,C1OC2ON12,0.4283705490637645,0.7640433801195827
64,O=CNCO,0.34431197247007056,0.7719534800883174
65,O=CN1CO1,0.14294059313044996,0.8780607896950811
66,O=C1NCO1,0.2801818205283532,0.7491601610168046
67,C=NCO,0.2642870280950551,0.8123554133196734
68,OC1=NCO1,0.22424776088183565,0.8059171079056421
69,O=C=NCO,0.2290351911607443,0.8355861873868555
70,O=CNC=O,0.3473573397868699,0.6526426602159742
71,C=NC=O,0.10819046980412096,0.9559522110256871
72,O=CN=CO,0.32890509945980556,0.7483246729609632
73,N1C2OC1O2,0.8874129040829037,0.9410157548283978
