smiles,ac2_am2,ac2_am3,ac3_am2,ac3_am3
C.C.O.OC1=CC=N1,16.0,15.0,15.0,14.0
C.C.OOC1=CC=N1,17.0,16.0,16.0,15.0
C.C.OC1=CC(O)=N1,15.0,14.0,14.0,13.0
C.C.C1=C2N=C1OO2,16.0,15.0,15.0,14.0
C.C.C1=C2N=C1O2.O,15.0,14.0,14.0,13.0
C.CC=C(N)O.CO,15.0,14.0,14.0,13.0
C.CC=C(N)OOC,16.0,15.0,15.0,14.0
C.CC=C(O)NOC,16.0,15.0,15.0,14.0
C.CC=C1NO1.CO,16.0,15.0,15.0,14.0
C.CC=C1ON1OC,17.0,16.0,16.0,15.0
C.COCC=C(N)O,14.0,13.0,13.0,12.0
C.COCC=C1NO1,15.0,14.0,14.0,13.0
C.CO.NC1=CCO1,14.0,13.0,13.0,12.0
C.CONC1=CCO1,15.0,14.0,14.0,13.0
C.COC1C=C(N)O1,13.0,12.0,12.0,11.0
C.CO.OC1=CCN1,16.0,15.0,15.0,14.0
C.COOC1=CCN1,17.0,16.0,16.0,15.0
C.CON1CC=C1O,17.0,16.0,16.0,15.0
C.C1=C2ON2C1.CO,17.0,16.0,16.0,15.0
C.COC1C=C(O)N1,15.0,14.0,14.0,13.0
C.COC1C=C2ON21,16.0,15.0,15.0,14.0
C.C1=C2NC1O2.CO,15.0,14.0,14.0,13.0
C.CON1C2=CC1O2,16.0,15.0,15.0,14.0
C.COC12C=C(N1)O2,14.0,13.0,13.0,12.0
C.CO.OC1=CC=N1,17.0,16.0,16.0,15.0
C.COOC1=CC=N1,18.0,17.0,17.0,16.0
C.COC1=NC(O)=C1,16.0,15.0,15.0,14.0
C.C1=C2N=C1O2.CO,16.0,15.0,15.0,14.0
C.C=O.CC=C(N)O,16.0,15.0,15.0,14.0
C.C=O.CC=C1NO1,17.0,16.0,16.0,15.0
C.C=O.NC1=CCO1,15.0,14.0,14.0,13.0
C.C=O.OC1=CCN1,17.0,16.0,16.0,15.0
C.C1=C2ON2C1.C=O,18.0,17.0,17.0,16.0
C.C1=C2NC1O2.C=O,16.0,15.0,15.0,14.0
C.C=O.OC1=CC=N1,18.0,17.0,17.0,16.0
C.C1=C2N=C1O2.C=O,17.0,16.0,16.0,15.0
C.CC=C(N)OC.O,15.0,14.0,14.0,13.0
C.CC=C(NO)OC,16.0,15.0,15.0,14.0
C.CC=C(N=O)OC,17.0,16.0,16.0,15.0
C.COC(N)=CCO,14.0,13.0,13.0,12.0
C.COC1=CCON1,15.0,14.0,14.0,13.0
C.COC(N)=CC=O,15.0,14.0,14.0,13.0
C.COC1=CCN1.O,16.0,15.0,15.0,14.0
C.COC1=CCN1O,17.0,16.0,16.0,15.0
C.COC1=CC(O)N1,15.0,14.0,14.0,13.0
C.COC1=CC2ON12,16.0,15.0,15.0,14.0
C.COC1=CC(=O)N1,16.0,15.0,15.0,14.0
C.COC1=CC=N1.O,17.0,16.0,16.0,15.0
C.COC1=CC(O)=N1,16.0,15.0,15.0,14.0
C.CC=C(N)OCO,16.0,15.0,15.0,14.0
C.CC=C1NOCO1,17.0,16.0,16.0,15.0
C.NC1=CCOCO1,15.0,14.0,14.0,13.0
C.OCOC1=CCN1,17.0,16.0,16.0,15.0
C.C1=C2OCON2C1,18.0,17.0,17.0,16.0
C.C1=C2NC1OCO2,16.0,15.0,15.0,14.0
C.OCOC1=CC=N1,18.0,17.0,17.0,16.0
C.C1=C2N=C1OCO2,17.0,16.0,16.0,15.0
C.CC=C(N)OC=O,17.0,16.0,16.0,15.0
C.O=COC1=CCN1,18.0,17.0,17.0,16.0
C.O=COC1=CC=N1,19.0,18.0,18.0,17.0
C.CC=C(O)NC.O,15.0,14.0,14.0,13.0
C.CC=C(NC)OO,16.0,15.0,15.0,14.0
C.CC=C(O)N(C)O,16.0,15.0,15.0,14.0
C.CC=C1OON1C,17.0,16.0,16.0,15.0
C.CC=C1ON1C.O,16.0,15.0,15.0,14.0
C.CNC(O)=CCO,14.0,13.0,13.0,12.0
C.CNC1=CCOO1,15.0,14.0,14.0,13.0
C.CN1OCC=C1O,15.0,14.0,14.0,13.0
C.CN1OC1=CCO,15.0,14.0,14.0,13.0
C.CNC(O)=CC=O,15.0,14.0,14.0,13.0
C.CN1OC1=CC=O,16.0,15.0,15.0,14.0
C.CNC1=CCO1.O,14.0,13.0,13.0,12.0
C.CN(O)C1=CCO1,15.0,14.0,14.0,13.0
C.CNC1=CC(O)O1,13.0,12.0,12.0,11.0
C.CN1OC2C=C1O2,14.0,13.0,13.0,12.0
C.CNC1=CC(=O)O1,14.0,13.0,13.0,12.0
C.CN1CC=C1O.O,16.0,15.0,15.0,14.0
C.CN1CC=C1OO,17.0,16.0,16.0,15.0
C.CN1C(O)=CC1O,15.0,14.0,14.0,13.0
C.CN1C2=CC1OO2,16.0,15.0,15.0,14.0
C.CN1C(=O)C=C1O,16.0,15.0,15.0,14.0
C.CN1C2=CC1O2.O,15.0,14.0,14.0,13.0
C.CN1C2=CC1(O)O2,14.0,13.0,13.0,12.0
C.CC=C(O)NCO,16.0,15.0,15.0,14.0
C.CC=C1NCOO1,17.0,16.0,16.0,15.0
C.CC=C(O)N1CO1,17.0,16.0,16.0,15.0
C.CC=C1ON1CO,17.0,16.0,16.0,15.0
C.OC1=CCOCN1,15.0,14.0,14.0,13.0
C.C1=C2ON2COC1,16.0,15.0,15.0,14.0
C.OCNC1=CCO1,15.0,14.0,14.0,13.0
C.C1=C(N2CO2)OC1,16.0,15.0,15.0,14.0
C.C1=C2NCOC1O2,14.0,13.0,13.0,12.0
C.OCN1CC=C1O,17.0,16.0,16.0,15.0
C.C1=C2OOCN2C1,18.0,17.0,17.0,16.0
C.OC1=CC2OCN12,16.0,15.0,15.0,14.0
C.OCN1C2=CC1O2,16.0,15.0,15.0,14.0
C.C1=C2OC13OCN23,15.0,14.0,14.0,13.0
C.CC=C(O)NC=O,17.0,16.0,16.0,15.0
C.CC=C1ON1C=O,18.0,17.0,17.0,16.0
C.O=CNC1=CCO1,16.0,15.0,15.0,14.0
C.O=CN1CC=C1O,18.0,17.0,17.0,16.0
C.O=CN1C2=CC1O2,17.0,16.0,16.0,15.0
C.CC=C1NCO1.O,16.0,15.0,15.0,14.0
C.CC=C1OCN1O,17.0,16.0,16.0,15.0
C.OCC=C1NCO1,15.0,14.0,14.0,13.0
C.C1=C2OCN2OC1,16.0,15.0,15.0,14.0
C.O=CC=C1NCO1,16.0,15.0,15.0,14.0
C.C1=C2OCN2C1.O,17.0,16.0,16.0,15.0
C.OC1C=C2OCN21,16.0,15.0,15.0,14.0
C.O=C1C=C2OCN12,17.0,16.0,16.0,15.0
C.CC=C1NC(O)O1,17.0,16.0,16.0,15.0
C.CC=C1OC2ON12,18.0,17.0,17.0,16.0
C.C1=C2NC(OC1)O2,16.0,15.0,15.0,14.0
C.OC1OC2=CCN21,18.0,17.0,17.0,16.0
C.C1=C2OC3OC1N23,17.0,16.0,16.0,15.0
C.CC=C1NC(=O)O1,18.0,17.0,17.0,16.0
C.O=C1OC2=CCN12,19.0,18.0,18.0,17.0
C.C=NC(O)=CC.O,16.0,15.0,15.0,14.0
C.C=NC(=CC)OO,17.0,16.0,16.0,15.0
C.C=NC(O)=CCO,15.0,14.0,14.0,13.0
C.C=NC1=CCOO1,16.0,15.0,15.0,14.0
C.C=NC(O)=CC=O,16.0,15.0,15.0,14.0
C.C=NC1=CCO1.O,15.0,14.0,14.0,13.0
C.C=NC1=CC(O)O1,14.0,13.0,13.0,12.0
C.C=NC1=CC(=O)O1,15.0,14.0,14.0,13.0
C.CC=C(O)N=CO,17.0,16.0,16.0,15.0
C.CC=C1N=COO1,18.0,17.0,17.0,16.0
C.OC1=CCOC=N1,16.0,15.0,15.0,14.0
C.OC=NC1=CCO1,16.0,15.0,15.0,14.0
C.C1=NC2=CC(O1)O2,15.0,14.0,14.0,13.0
C.CC=C(O)N=C=O,18.0,17.0,17.0,16.0
C.O=C=NC1=CCO1,17.0,16.0,16.0,15.0
C.CC=C1N=CO1.O,17.0,16.0,16.0,15.0
C.OCC=C1N=CO1,16.0,15.0,15.0,14.0
C.O=CC=C1N=CO1,17.0,16.0,16.0,15.0
C.CC=C1N=C(O)O1,18.0,17.0,17.0,16.0
C.C1=C2N=C(OC1)O2,17.0,16.0,16.0,15.0
C.CCC=C(N)O.O,13.0,12.0,12.0,11.0
C.CCC=C(N)OO,14.0,13.0,13.0,12.0
C.CCC=C(O)NO,14.0,13.0,13.0,12.0
C.CCC=C1NOO1,15.0,14.0,14.0,13.0
C.CCC=C(O)N=O,15.0,14.0,14.0,13.0
C.CCC=C1NO1.O,14.0,13.0,13.0,12.0
C.CCC=C1ON1O,15.0,14.0,14.0,13.0
C.CC(O)C=C(N)O,12.0,11.0,11.0,10.0
C.CC1C=C(N)OO1,13.0,12.0,12.0,11.0
C.CC1C=C(O)NO1,13.0,12.0,12.0,11.0
C.CC(O)C=C1NO1,13.0,12.0,12.0,11.0
C.CC1C=C2ON2O1,14.0,13.0,13.0,12.0
C.CC(=O)C=C(N)O,13.0,12.0,12.0,11.0
C.CC(=O)C=C1NO1,14.0,13.0,13.0,12.0
C.CC1C=C(N)O1.O,12.0,11.0,11.0,10.0
C.CC1C=C(NO)O1,13.0,12.0,12.0,11.0
C.CC1C=C(N=O)O1,14.0,13.0,13.0,12.0
C.CC1(O)C=C(N)O1,11.0,10.0,10.0,9.0
C.CC12C=C(NO1)O2,12.0,11.0,11.0,10.0
C.CC1C=C(O)N1.O,14.0,13.0,13.0,12.0
C.CC1C=C(OO)N1,15.0,14.0,14.0,13.0
C.CC1C=C(O)N1O,15.0,14.0,14.0,13.0
C.CC1C=C2OON21,16.0,15.0,15.0,14.0
C.CC1C=C2ON21.O,15.0,14.0,14.0,13.0
C.CC1(O)C=C(O)N1,13.0,12.0,12.0,11.0
C.CC12C=C(N1)OO2,14.0,13.0,13.0,12.0
C.CC12C=C(O)N1O2,14.0,13.0,13.0,12.0
C.CC1(O)C=C2ON21,14.0,13.0,13.0,12.0
C.CC12C=C(N1)O2.O,13.0,12.0,12.0,11.0
C.CC12C=C(O1)N2O,14.0,13.0,13.0,12.0
C.CC1=NC(O)=C1.O,15.0,14.0,14.0,13.0
C.CC1=NC(OO)=C1,16.0,15.0,15.0,14.0
C.NC(O)=CCCO,14.0,13.0,13.0,12.0
C.NC1=CCCOO1,15.0,14.0,14.0,13.0
C.OC1=CCCON1,15.0,14.0,14.0,13.0
C.OCCC=C1NO1,15.0,14.0,14.0,13.0
C.C1=C2ON2OCC1,16.0,15.0,15.0,14.0
C.NC(O)=CC1CO1,13.0,12.0,12.0,11.0
C.C(=C1NO1)C1CO1,14.0,13.0,13.0,12.0
C.NC1=CC(CO)O1,13.0,12.0,12.0,11.0
C.C1=C2NOCC1O2,14.0,13.0,13.0,12.0
C.NC1=CC2(CO2)O1,12.0,11.0,11.0,10.0
C.OCC1C=C(O)N1,15.0,14.0,14.0,13.0
C.C1=C2NC1COO2,16.0,15.0,15.0,14.0
C.OC1=CC2CON12,16.0,15.0,15.0,14.0
C.OCC1C=C2ON21,16.0,15.0,15.0,14.0
C.OC1=CC2(CO2)N1,14.0,13.0,13.0,12.0
C.C1=C2ON2C12CO2,15.0,14.0,14.0,13.0
C.OCC12C=C(N1)O2,14.0,13.0,13.0,12.0
C.C1=C2OC13CON23,15.0,14.0,14.0,13.0
C.OCC1=NC(O)=C1,16.0,15.0,15.0,14.0
C.C1=C2N=C1COO2,17.0,16.0,16.0,15.0
C.NC(O)=CCC=O,15.0,14.0,14.0,13.0
C.O=CCC=C1NO1,16.0,15.0,15.0,14.0
C.NC1=CC(C=O)O1,14.0,13.0,13.0,12.0
C.O=CC1C=C(O)N1,16.0,15.0,15.0,14.0
C.O=CC1C=C2ON21,17.0,16.0,16.0,15.0
C.O=CC12C=C(N1)O2,15.0,14.0,14.0,13.0
C.O=CC1=NC(O)=C1,17.0,16.0,16.0,15.0
C.NC1=CCCO1.O,14.0,13.0,13.0,12.0
C.ONC1=CCCO1,15.0,14.0,14.0,13.0
C.O=NC1=CCCO1,16.0,15.0,15.0,14.0
C.NC1=CC(O)CO1,13.0,12.0,12.0,11.0
C.C1=C2NOC1CO2,14.0,13.0,13.0,12.0
C.NC1=CC(=O)CO1,14.0,13.0,13.0,12.0
C.C1=C2NC1CO2.O,15.0,14.0,14.0,13.0
C.ON1C2=CC1CO2,16.0,15.0,15.0,14.0
C.OC12C=C(N1)OC2,14.0,13.0,13.0,12.0
C.C1=C2OCC13ON23,15.0,14.0,14.0,13.0
C.C1=C2N=C1CO2.O,16.0,15.0,15.0,14.0
C.NC1=CCC(O)O1,15.0,14.0,14.0,13.0
C.C1=C2NOC(C1)O2,16.0,15.0,15.0,14.0
C.NC1=CC2OC2O1,14.0,13.0,13.0,12.0
C.OC1OC2=CC1N2,16.0,15.0,15.0,14.0
C.C1=C2OC3ON2C13,17.0,16.0,16.0,15.0
C.C1=C2NC13OC3O2,15.0,14.0,14.0,13.0
C.OC1OC2=CC1=N2,17.0,16.0,16.0,15.0
