ndrug,nsub,nmatches,smiles
0,36,2,CCC(O)O
0,87,5,CCCCN
0,127,11,CCCN
0,282,14,CCNC
0,283,1,CC(O)O
0,288,6,CCC(C)N
0,323,3,CC(C)N
0,389,6,CCNCC
0,438,2,CCOC=O
0,457,9,CCCO
0,470,2,NCCO
0,486,2,CCNC(=O)O
0,1088,4,CCC(O)OC
0,1311,1,CC(C)C(O)O
0,1348,2,CCC(C)NC(=O)O
0,1353,4,CCNC(=O)OCC
0,2019,13,CCCC
0,2076,2,CCCC(O)O
0,2158,2,CCC(C)C(O)O
0,2377,2,CCOC(O)CC
0,2424,2,COC(C)O
0,2495,2,OCCCO
0,2543,1,CC(O)CO
0,2598,2,CCOCO
0,2728,1,NC(=O)O
0,2745,2,CCNC=O
0,2772,1,CNC(=O)O
0,2799,1,COC=O
0,3335,1,CCNCCO
0,3433,1,CCC(N)CO
0,3476,8,CCCCO
0,3544,3,CCC(C)O
0,3590,2,CCOC(C)O
0,3726,1,CC(N)C(C)O
0,4078,3,CCCCCN
0,4184,1,CCCC(C)N
0,4360,1,CC(C)NC(=O)O
0,4363,2,CCCNC(=O)O
0,4418,3,CC(C)CO
0,4451,1,CC(C)CN
0,5198,2,CCCCCO
0,5415,2,CC1CCOC1O
0,5495,2,CCC(C)NC=O
0,5662,12,CCCNCC
0,5687,2,OC1CCCO1
0,6578,1,CCC(O)CN
0,7475,2,CCNC(=O)OC
0,7646,6,CCCOC
0,8428,2,CCCOC=O
0,8446,1,CC(C)OC=O
0,8605,2,CCNC(C)C
0,8727,1,CCCCOC=O
0,8738,2,CCC(C)OC=O
0,8949,1,O=CNCCO
0,9018,2,CNCCO
0,9050,2,CCNCO
0,9130,2,CC(C)O
0,9237,2,CCOC(N)=O
0,9283,1,OCCO
0,9357,1,COCN
0,9370,2,COCO
0,9417,1,CNCO
0,9421,1,CNC=O
0,9493,1,CN(C)C
0,9547,1,CNC(=O)OC
0,9570,6,CCOC
0,10083,2,CC(O)CN
0,10096,1,CC(N)CO
0,10665,5,CCC(C)CO
0,10992,2,CCCOCN
0,11112,2,CCCOCC
0,11311,1,CNC(C)CO
0,11326,4,CCN(C)C
0,11388,15,CCCNC
0,11444,2,CCOC(=O)NC
0,11464,4,CNC(C)C
0,11766,1,CCCCOCN
0,12121,4,CCCCC
0,12164,2,CCCC(O)OC
0,12406,2,COC(O)C(C)C
0,12965,2,CCCNC(=O)OC
0,12998,2,CCC(C)OCN
0,13008,1,CCC(N)C(C)O
0,13029,2,CCC(C)NCO
0,13056,1,COC(=O)NC(C)C
0,13221,4,CCNCOCC
0,13245,2,CCOC(C)OC
0,13543,1,CCOCCCO
0,13581,2,CCC(CO)CO
0,13655,2,CCC(OC)OC
0,14827,1,CCCC(O)CO
0,15508,1,CC(O)CCCO
0,17657,1,CCC(O)CNC
0,17898,1,CNC(C)C(C)O
0,17946,1,CCC(CO)NC
0,18548,2,CCCOCNC
0,19237,1,NC1CCCC1
0,19455,2,CCCOC(=O)NC
0,19458,1,CNC(=O)OC(C)C
0,20706,1,CC(C)COCN
0,20981,1,OCCCCCO
0,21551,1,CCCC(O)CN
0,21968,2,CCCCOCO
0,22006,1,CCOCOCC
0,23602,2,CCOCC
0,23623,2,CC(O)CCO
0,23671,2,CCC(O)CO
0,24549,1,C1CCNCC1
0,24572,3,CC(CO)CCO
0,24784,2,CC(CO)CO
0,24854,2,CC(C)C
0,27051,2,C1CCOC1
0,27237,3,OCCCCO
0,27883,4,COCCCO
0,28122,1,COC(C)OC
0,28143,2,CCOCOC
0,28163,1,COC(C)CO
0,28173,1,COCC(C)O
0,28507,1,OCCNCO
0,28528,2,CCOCN
0,28609,1,COC(N)=O
0,28672,2,COCCO
0,28767,1,COCOC
0,29431,2,NCOCCCO
0,29504,1,CC(CO)NCO
0,29506,1,CC(CO)OCN
0,29649,2,CCC(C)OC(N)=O
0,29810,2,CC(O)C(C)CO
0,29947,1,CCCOCCO
0,29954,2,CC1CCOC1
0,30001,2,CCCNC=O
0,30010,1,CC(C)NC=O
0,30357,2,CCCOCO
0,30661,2,CCC(C)C
0,30976,1,CCCCOC(N)=O
0,34601,2,CCCNCCO
0,34894,1,CC(O)C(C)NC=O
0,35546,1,CCNCC(C)O
0,35613,1,CCC(CO)NC=O
0,36588,2,CC(C)CCO
0,37452,1,CC(C)C(C)O
0,40191,2,CCCC(C)O
0,42156,3,CCC(N)CC
0,43842,1,CC1COCC1O
0,56866,1,OCC1CCOC1
0,64950,1,COCC(C)OCN
0,65135,1,OC1CCOC1
0,65137,2,COCCCOCN
0,65274,1,COCNC(C)CO
0,65360,1,NCOCCCCO
0,66243,2,CCNCOCCO
0,66336,1,CC(O)C(C)NCO
0,66424,2,CCOCNCCO
0,66518,2,CCC(CO)OCN
0,66525,1,CCC(CO)NCO
0,66553,2,CC(CCO)OCN
0,66773,2,CC(CO)COCN
0,68217,5,CCCCOC
0,68673,1,CC(O)CNC=O
0,68678,1,CC(CO)NC=O
0,68810,2,CCCOC(N)=O
0,68813,1,CC(C)OC(N)=O
0,70180,2,CCC(C)OC
0,70289,1,CCOCCO
0,70605,3,COCC(C)C
0,70740,8,CCCCNC
0,71971,5,CCN(C)CC
0,72074,8,CCC(C)NC
0,72378,1,C1CCCC1
0,73869,1,CC(C)COC=O
0,75511,1,CNCC(C)C
0,76076,1,CC(C)N(C)C
0,76077,4,CCCN(C)C
0,76357,1,CNCOC(C)CO
0,76424,2,CNCOCCCO
0,77270,2,CNCC(C)O
0,79244,2,CCOCNC
0,80483,2,COC1CCCO1
0,80886,2,CCNCOC
0,81186,1,CNCOC
0,81322,1,COC(C)C
0,81791,1,NCOCCO
0,82255,2,CCCNCO
0,82666,1,CC(C)OCN
0,82694,1,CC(C)NCO
0,82863,2,COCCCOC
0,84256,1,COCC(C)OC
0,88103,4,COCC(C)CO
0,88589,1,CCC(O)COC
0,88609,1,COCCC(C)O
0,88639,1,CCOCCOC
0,91189,2,COC(C)CCO
0,91222,2,CCC(CO)OC
0,92851,2,CCCOCOC
0,93777,4,COCCCCO
0,95289,2,CCCNCOC
0,95305,1,COCNC(C)C
0,96082,1,CC(O)CNCO
0,97442,1,CNCOCCO
0,104103,1,COCCOC
0,104141,1,COCCOCN
0,104198,1,COCNCCO
0,118083,1,NCOC1CCOC1
0,124427,1,CC(C)C(O)CO
0,125441,1,CC(C)COC(N)=O
0,135316,1,CNCOC(C)C
0,164084,1,CNCOCCOC
0,164439,1,COCNCC(C)O
0,164833,1,COC1CCOC1
0,171906,1,CCOCCOCN
1,87,2,CCCCN
1,127,2,CCCN
1,282,6,CCNC
1,288,2,CCC(C)N
1,323,1,CC(C)N
1,389,2,CCNCC
1,2019,6,CCCC
1,4078,2,CCCCCN
1,4184,2,CCCC(C)N
1,5662,2,CCCNCC
1,8605,1,CCNC(C)C
1,9493,1,CN(C)C
1,11326,3,CCN(C)C
1,11388,4,CCCNC
1,11464,2,CNC(C)C
1,12121,6,CCCCC
1,42156,1,CCC(N)CC
1,70740,4,CCCCNC
1,71971,2,CCN(C)CC
1,72074,4,CCC(C)NC
1,76076,1,CC(C)N(C)C
1,76077,2,CCCN(C)C
2,0,1,CCC(=O)O
2,3,1,CCC(=O)OCCN
2,35,1,CCC=O
2,43,2,CC(=O)O
2,88,1,CCOC(=O)CC
2,230,2,COC(C)=O
2,280,1,CCC(=O)OC
2,282,2,CCNC
2,372,1,CC(=O)OCCN
2,398,1,NCCOC=O
2,438,1,CCOC=O
2,457,1,CCCO
2,470,1,NCCO
2,1537,1,CCCOCCN
2,2006,1,CCOC(C)=O
2,2300,1,CC(N)=O
2,2376,1,O=CCO
2,2504,2,CNCCOC(C)=O
2,2799,2,COC=O
2,3343,1,CCOCCN
2,7646,1,CCCOC
2,8430,2,CNCCOC=O
2,9013,2,CNC(C)=O
2,9018,2,CNCCO
2,9421,2,CNC=O
2,9493,1,CN(C)C
2,9570,3,CCOC
2,9603,1,COCC=O
2,9604,1,COCCN
2,11112,1,CCCOCC
2,11326,1,CCN(C)C
2,15891,1,CN(C)CCOC=O
2,17888,2,CCOCCNC
2,23602,1,CCOCC
2,23681,1,CCOCC=O
2,28313,2,CNC(=O)CO
2,28346,1,CN(C)C=O
2,28565,1,NC(=O)CO
2,29930,1,CCCOCC(N)=O
2,31303,1,CC(=O)N(C)C
2,43873,1,CCCOCC=O
2,70301,1,CCOCC(N)=O
2,79754,1,CN(C)C(=O)CO
2,79792,1,CN(C)CCO
2,80048,1,COCC(N)=O
2,80749,2,CNC(=O)COC
2,80842,2,CNCCOC
2,93390,1,COCC(=O)N(C)C
2,93405,1,COCCN(C)C
2,145299,2,CCOCC(=O)NC
3,35,1,CCC=O
3,87,4,CCCCN
3,127,7,CCCN
3,148,2,CCNC(=O)CC
3,282,15,CCNC
3,288,5,CCC(C)N
3,323,3,CC(C)N
3,389,5,CCNCC
3,438,1,CCOC=O
