rmat_tag,pdt_smiles
1400000,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([15C]C=2)[15N]2[13C]3C(Cl)=CC(Cl)=C[14C]3[17C]21[18O][17O])N1CCOCC1
1400001,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([15C]C=2)[15N]2[13C]3C(Cl)=CC(Cl)=C[14C]3[17C]21[17O])N1CCOCC1.[18O]
1400002,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C]1([15C]C=2)[15N]2[13C]3C(Cl)=CC(Cl)=C[14C]3[17C]21[17O][18O])N1CCOCC1
1400054,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1.[17O].[18O]
1400055,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1.[17O][18O]
1400056,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1.[17O]=[18O]
1400057,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N][18O])[15C]C=2)N1CCOCC1.[17O]
1400058,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N][18O][17O])[15C]C=2)N1CCOCC1
1400059,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N]=[18O])[15C]C=2)N1CCOCC1.[17O]
1400060,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N][17O])[15C]C=2)N1CCOCC1.[18O]
1400061,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N][17O][18O])[15C]C=2)N1CCOCC1
1400062,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N]([17O])[18O])[15C]C=2)N1CCOCC1
1400063,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N]1[17O][18O]1)[15C]C=2)N1CCOCC1
1400064,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C][14C]1C=C(Cl)C=C(Cl)[13C]1[15N]=[17O])[15C]C=2)N1CCOCC1.[18O]
1400065,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]([18O])=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1.[17O]
1400066,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]([18O][17O])=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1
1400067,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C]1[18O][15N][13C]3C(Cl)=CC(Cl)=C[14C]31)[15C]C=2)N1CCOCC1.[17O]
1400068,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C]([18O])[14C]1C=C(Cl)C=C(Cl)[13C]1[15N][17O])[15C]C=2)N1CCOCC1
1400069,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C]1[18O][17O][15N][13C]3C(Cl)=CC(Cl)=C[14C]31)[15C]C=2)N1CCOCC1
1400070,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C]1[18O][15N]([17O])[13C]3C(Cl)=CC(Cl)=C[14C]31)[15C]C=2)N1CCOCC1
1400071,O=C(Cn1c(-c2ccccc2)c(C2CCCCC2)c2c1=C[16C](=[17C]([18O])[14C]1C=C(Cl)C=C(Cl)[13C]1[15N]=[17O])[15C]C=2)N1CCOCC1
1400072,[15N][13C]1C(Cl)=CC(Cl)=C[14C]1[17C]([17O])=[16C]1C=c2c(c(C3CCCCC3)c(-c3ccccc3)n2CC(=O)N2CCOCC2)=C[15C]1.[18O]
