rmat_tag,pdt_smiles
1500000,[15C][15N]1[13C][14C]2[16C][17C]([17O]2)[18O]1
1500005,[15C][15N]1[13C][14C]2[16C][17C]1[18O][17O]2
1500010,[15C][15N][13C][14C]1[17O][18O][16C]1[17C]
1500015,[15C][15N][13C][14C]1[17O][17C][16C]1[18O]
1500020,[15C][15N]1[13C][14C]([17O])[16C]2[18O][17C]21
1500030,[15C][15N][13C][14C]1[17O][16C]1[17C][18O]
1500035,[15C][15N]1[13C][14C]2[17O][16C]2[17C]1=[18O]
1500058,[15C][15N][13C][14C]([16C]=[17C])[17O][18O]
1500068,[15C][15N][13C][14C]1[16C]=[17C][17O]1.[18O]
1500073,[15C][15N]1[13C][14C]([17O][18O])[16C]=[17C]1
1500118,[16C][14C]1[13C][15N][15C][18O][17O]1.[17C]
1500128,[16C][14C]([17O])[13C][15N]1[15C][18O][17C]1
1500133,[17C][17O][14C]1[13C][15N][15C][18O][16C]1
1500138,[17C][18O][15C][15N][13C][14C]1[16C][17O]1
1500143,[17C].[17O][14C]1[13C][15N]([15C][18O])[16C]1
1500148,[17C].[17O][14C]1[13C][15N]2[15C][18O][16C]12
1500154,[17C][16C][14C]1[13C][15N][15C][18O][17O]1
1500159,[18O][15C][15N][13C][14C]1[16C][17C][17O]1
1500164,[17O][14C]1[13C][15N]2[15C][18O][17C]2[16C]1
1500169,[13C]1[15N][15C][18O][16C]2[17C][17O][14C]12
1500174,[13C]1[15N][15C][18O][17C][16C]2[17O][14C]12
1500181,[17O][14C]1[13C][15N]2[15C][18O][17C][16C]12
1500190,[17C]=[16C][14C]([17O])[13C][15N]1[15C][18O]1
1500230,[16C][14C]1[13C][15N]([15C]=[18O])[17C][17O]1
1500235,[17C].[18O]=[15C][15N]1[13C][14C]2[17O][16C]21
1500240,[18O]=[15C][15N]1[13C][14C]2[16C][17C]1[17O]2
1500246,[17C]=[16C][14C]([17O])[13C][15N][15C]=[18O]
1500260,[16C][14C]1[13C][15N]([18O])[15C][17O]1.[17C]
1500266,[16C][14C]1[13C][15N]([17C]=[18O])[15C][17O]1
1500271,[13C]1[14C]2[16C][18O][17C][15N]1[15C][17O]2
1500278,[17C][18O][16C]1[14C]2[13C][15N]1[15C][17O]2
1500284,[18O]=[17C][16C][14C]1[13C][15N][15C][17O]1
1500289,[17C][16C]1[18O][15N]2[13C][14C]1[17O][15C]2
1500296,[18O][17C][16C]1[14C]2[13C][15N]1[15C][17O]2
1500303,[13C]1[14C]2[16C]=[17C][18O][15N]1[15C][17O]2
1500321,[16C][14C]1[13C][15N]2[18O][15C]2[17O]1.[17C]
1500326,[17C][15N]1[13C][14C]2[16C][18O][15C]1[17O]2
1500331,[17C][16C][14C]1[13C][15N]2[18O][15C]2[17O]1
1500336,[13C]1[14C]2[17O][15C]3[18O][16C]2[17C][15N]13
1500342,[13C]1[15N][15C]2[17O][14C]1[16C]=[17C][18O]2
1500367,[15C]=[15N][13C][14C]([16C])[17O][18O][17C]
1500373,[15C]=[15N][13C][14C]1[16C][18O][17O]1.[17C]
1500378,[15C]=[15N][13C][14C]([16C]=[18O])[17O][17C]
1500386,[15C]=[15N][13C][14C]([16C][17C])[17O][18O]
1500391,[15C]=[15N][13C][14C]1[16C][17C]([18O])[17O]1
1500405,[15C]=[15N][13C][14C]([17O])[16C]=[17C].[18O]
1500428,[16C][14C]([13C][15N]=[15C][18O])[17O][17C]
1500433,[17C][18O][15C]=[15N][13C][14C]1[16C][17O]1
1500438,[18O][15C]=[15N][13C][14C]1[16C][17C][17O]1
1500443,[13C]1[15N]=[15C][18O][17C][16C]2[17O][14C]12
1500475,[17C][16C][14C]1[13C][15N]=[15C][17O]1.[18O]
1500481,[17C]=[16C][14C]1[13C][15N]=[15C][17O]1.[18O]
1500501,[15C][17C].[16C][14C]([17O])[13C][15N][18O]
1500506,[15C][17C][18O].[16C][14C]([17O])[13C][15N]
1500511,[15C][17C]=[18O].[16C][14C]([17O])[13C][15N]
1500516,[15C][17C]([18O])[17O][14C]([16C])[13C][15N]
1500521,[15C][17C][15N]([18O])[13C][14C]([16C])[17O]
1500526,[15C][17C]1[18O][15N]1[13C][14C]([16C])[17O]
1500531,[15C][17C]1[17O][14C]([16C])[13C][15N]1[18O]
1500536,[15C][17C]([18O])=[15N][13C][14C]([16C])[17O]
1500541,[15C][17C].[17O][14C]1[13C][15N][18O][16C]1
1500546,[15C][17C][17O][14C]([13C][15N])[16C][18O]
1500551,[15C][17C][15N]1[13C][14C]([17O])[16C][18O]1
1500556,[15C][17C]1[17O][14C]2[13C][15N]1[18O][16C]2
1500566,[15C][17C][15N]1[13C][14C]([16C]=[18O])[17O]1
1500571,[15C][17C].[18O][15N][13C][14C]1[16C][17O]1
1500576,[15C][17C][15N][13C][14C]1[16C][17O]1.[18O]
1500581,[15C][17C]=[15N][13C][14C]1[16C][17O]1.[18O]
1500594,[15C][17C].[17O][14C]1[13C][15N][16C]1.[18O]
1500604,[13C]1[14C]2[16C][15N]1[17O]2.[15C][17C]=[18O]
1500609,[15C][17C](=[18O])[17O][14C]1[13C][15N][16C]1
1500619,[15C][17C].[17O][14C]1[13C][15N]2[18O][16C]12
1500624,[15C][17C][17O][14C]1[13C][15N]2[18O][16C]12
1500639,[15C][17C][18O][15N]1[13C][14C]2[17O][16C]21
1500649,[15C][17C].[17O][14C]1[13C][15N]=[16C]1.[18O]
1500667,[15C][17C][16C][14C]([17O])[13C][15N][18O]
1500672,[15C][17C]([18O])[16C][14C]([17O])[13C][15N]
1500677,[15C][17C](=[18O])[16C][14C]([17O])[13C][15N]
1500682,[15C][17C]1([18O])[16C][14C]([13C][15N])[17O]1
1500687,[15C][17C]1[16C][14C]2[13C][15N]1[18O][17O]2
1500692,[15C][17C]1([18O])[16C][14C]2[13C][15N]1[17O]2
1500697,[15C][17C][16C]([18O])[14C]([17O])[13C][15N]
1500702,[15C][17C]1[18O][16C]1[14C]([17O])[13C][15N]
1500707,[15C][17C]1[15N][13C][14C]([17O])[16C]1[18O]
1500712,[15C][17C]12[18O][16C]1[14C]1[13C][15N]2[17O]1
