,rmat_tag,distance,largest_frag,largest_cleaned,pmi_x,pmi_y
0,1370518,2.0,C[15C]([16C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[17C](=[17O])[18O])[15N]1[13C][14C@@H]1c1ccccc1,CC([C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(=O)O)N1C[C@@H]1c1ccccc1,0.16729235961115518,0.8815644760424979
20,1369469,3.0,C[15C][16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]1[13C][14C@@H]1c1ccccc1,CC[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)N1C[C@@H]1c1ccccc1,0.11543360464776316,0.9683174580611009
40,97299,3.0,C[15C][15N][14CH]c1ccccc1,CCNCc1ccccc1,0.14175492220685848,0.9422968651442628
60,1369354,3.0,[17O]=[17C][18O][15N]1[13C][14C@@H]1c1ccccc1,O=CON1C[C@@H]1c1ccccc1,0.17650569293162596,0.8757971678900137
80,135260,4.0,C[15C]1[15N][14C@H](c2ccccc2)[17O][17C]([18O])[16C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,CC1N[C@H](c2ccccc2)OC(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,0.08797174113575984,0.9863695984446318
100,1365519,4.0,C[15C][18O][17C](=[17O])[16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[15N]1[13C][14C@@H]1c1ccccc1,CCOC(=O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)N1C[C@@H]1c1ccccc1,0.1920714019828973,0.8456947542346113
120,1350774,4.0,C[15C][16C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[17C]([18O])[17O][14C@H]([13C][15N])c1ccccc1,CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(O)O[C@H](CN)c1ccccc1,0.13549434273149438,0.9775273335250525
140,149999,4.0,C[15C][15N]=[14CH]c1ccccc1,CCN=Cc1ccccc1,0.13162281076273202,0.8951241658382052
160,20930,4.0,C[15C][16C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[17C]([15N])([17O])[18O],CC[C@H](c1ccc(N2Cc3ccccc3C2=O)cc1)C(N)(O)O,0.12289799956771111,0.9313856307943117
180,118710,4.0,C[15C][15N][14C@@H]([18O][17C](=[17O])[16CH]c1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,CCN[C@@H](OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1)c1ccccc1,0.1020208085709766,0.9763430877082054
200,811836,4.0,C[15C]1([14C@H]([15N])c2ccccc2)[16C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)[17C]1=[17O],CC1([C@H](N)c2ccccc2)[C@H](c2ccc(N3Cc4ccccc4C3=O)cc2)C1=O,0.1055580598023756,0.9883664426827304
220,452783,4.0,C[15C]([18O][17C]=[17O])[16C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[14C@H]([15N])c1ccccc1,CC(OC=O)[C@@H](c1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](N)c1ccccc1,0.19228077673662902,0.8866739536086103
