,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
0,121,[13C].[14C].[15C].[16C][18O][17O][15N].[17C],[16C][18O][17O][15N],COON,0.23933327762495132,0.8642009318704412
20,228,[13C].[14C].[15C].[16C][17O][15N][17C][18O],[16C][17O][15N][17C][18O],CONCO,0.1275559459215339,0.9541494148690485
40,276,[13C].[14C].[15C].[16C]1[17O][17C][15N][18O]1,[16C]1[17O][17C][15N][18O]1,C1OCNO1,0.5440102768497705,0.5757389887829021
60,373,[13C].[14C].[15C].[16C][15N]=[18O].[17C]=[17O],[16C][15N]=[18O],CN=O,0.1376793001878097,0.9282082222230406
80,412,[13C].[14C].[15C].[16C][15N]=[17C][17O].[18O],[16C][15N]=[17C][17O],CN=CO,0.2691956979097995,0.7691425941576314
100,439,[13C].[14C].[15C].[17C][15N]1[16C][18O]1.[17O],[17C][15N]1[16C][18O]1,CN1CO1,0.3173297308470814,0.8489852188065322
120,512,[13C].[14C].[15C].[17O][16C][15N]=[17C][18O],[17O][16C][15N]=[17C][18O],OCN=CO,0.12358980969845508,0.9359575809671709
140,742,[13C].[14C].[15C].[16C][17C][18O][15N]=[17O],[16C][17C][18O][15N]=[17O],CCON=O,0.24158626137738148,0.8488041122844292
160,798,[13C].[14C].[15C].[16C][17C]12[17O][15N]1[18O]2,[16C][17C]12[17O][15N]1[18O]2,CC12ON1O2,0.47438249479506256,0.6320920599057243
180,846,[13C].[14C].[15C].[17O][15N][17C][16C][18O],[17O][15N][17C][16C][18O],ONCCO,0.17099121580164148,0.946003251344599
200,924,[13C].[14C].[15C].[16C]1[17O][15N]2[18O][17C]12,[16C]1[17O][15N]2[18O][17C]12,C1ON2OC12,0.44772991999465267,0.7855386806734956
220,1028,[13C].[14C].[15C].[17O][15N]1[16C][17C][18O]1,[17O][15N]1[16C][17C][18O]1,ON1CCO1,0.3254041457174188,0.7962501791890282
240,1062,[13C].[14C].[15C].[17O][15N]1[16C][17C]1[18O],[17O][15N]1[16C][17C]1[18O],ON1CC1O,0.2593396141865055,0.8638400277098597
260,1364,[13C].[14C].[15C].[16C]=[17C]([15N])[18O][17O],[16C]=[17C]([15N])[18O][17O],C=C(N)OO,0.36791822360731874,0.7445079876346882
280,1833,[13C].[14C].[15C][18O][15N]=[17C][17O].[16C],[15C][18O][15N]=[17C][17O],CON=CO,0.0866620134243073,0.9776234431084366
300,1940,[13C].[14C].[15C][18O][15N][16C].[17C]=[17O],[15C][18O][15N][16C],CONC,0.17333486862917077,0.9710290863281834
320,1976,[13C].[14C].[15C][18O][16C][15N]=[17C].[17O],[15C][18O][16C][15N]=[17C],COCN=C,0.3188227965644149,0.8706296618261566
340,2099,[13C].[14C].[15C][18O][15N][17O].[16C][17C],[15C][18O][15N][17O],CONO,0.1628877976203961,0.9558679457462828
360,2143,[13C].[14C].[15C][18O][15N]=[17C]([16C])[17O],[15C][18O][15N]=[17C]([16C])[17O],CON=C(C)O,0.19582464380183162,0.8332306531753454
